,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.98,0.61,0.33,0.31,0.46
chrysalis.csv,0.13,0.27,0.0,0.98,0.21
mobicents.csv,0.45,0.99,0.25,0.33,0.48
snakeyaml.csv,0.54,0.45,0.9,0.1,0.34
xamj.csv,0.55,0.62,0.41,0.21,0.99
