,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.18,0.14,0.85,0.51,0.55,0.39,0.09,0.16,0.3,0.13,0.13,0.35,0.68
codepurge.csv,0.0,0.22,0.93,0.49,0.43,0.45,0.15,0.25,0.39,0.26,0.31,0.43,0.76
crisscross.csv,0.23,0.29,0.85,0.51,0.49,0.4,0.09,0.28,0.32,0.13,0.22,0.46,0.65
elvishrayrenderer.csv,0.0,0.17,0.91,0.47,0.75,0.29,0.09,0.39,0.4,0.17,0.1,0.45,0.89
gwanted.csv,0.5,0.34,0.85,0.8,0.36,0.62,0.4,0.51,0.65,0.42,0.26,0.64,0.8
jitterbit.csv,0.0,0.15,0.87,0.55,0.31,0.7,0.08,0.55,0.31,0.24,0.12,0.52,0.73
ldview.csv,0.28,0.18,0.86,0.5,0.5,0.55,0.09,0.28,0.34,0.19,0.18,0.5,0.65
libopenmetaverse.csv,0.23,0.16,0.86,0.69,0.5,0.39,0.12,0.27,0.29,0.17,0.15,0.47,0.62
mb-unit.csv,0.33,0.21,0.9,0.52,0.4,0.6,0.09,0.32,0.35,0.21,0.19,0.6,0.69
mvdsv.csv,0.18,0.0,0.84,0.55,0.5,0.86,0.75,0.49,0.33,0.1,0.0,0.83,0.75
nova.csv,0.55,0.19,0.86,0.49,0.53,0.3,0.0,0.23,0.3,0.19,0.13,0.44,0.64
olex2.csv,0.24,0.23,0.88,0.8,0.52,0.0,0.17,0.45,0.47,0.31,0.15,0.71,0.76
tolven.csv,0.29,0.43,0.9,0.5,0.43,0.67,0.19,0.51,0.57,0.25,0.18,0.58,0.73
