,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.37,1.0,1.0,0.65,0.39,0.3,0.82,0.49,0.98,0.75
betoffice.csv,0.89,0.5,0.45,0.77,0.89,1.0,0.53,0.83,0.87,0.84
bnetd.csv,1.0,0.93,0.92,0.74,0.28,0.6,1.0,0.2,1.0,0.91
graphmak.csv,0.0,0.24,0.62,0.7,0.43,0.6,0.69,0.97,0.07,0.38
hazelcast.csv,0.37,0.83,0.18,0.56,0.63,0.0,0.49,0.34,0.73,0.48
megasquirtavr.csv,1.0,0.93,0.18,0.72,0.59,1.0,0.73,1.0,0.89,0.71
pdfedit.csv,0.26,0.59,0.48,0.33,0.43,0.9,0.27,0.37,0.33,0.84
stajistics.csv,0.47,0.39,0.0,0.77,0.87,0.1,0.27,0.83,0.4,0.3
twostep.csv,0.11,0.65,0.51,0.58,0.72,0.1,0.76,0.69,0.16,0.64
xharbour.csv,0.05,0.78,0.59,0.6,0.48,0.1,0.64,0.77,0.18,0.62
