,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.46,1.0,1.0,0.69,0.5,0.35,0.86,0.54,0.98,0.76
betoffice.csv,0.93,0.98,0.75,0.8,0.89,1.02,0.64,0.88,0.9,0.87
bnetd.csv,1.0,0.93,0.92,0.76,0.66,0.84,1.0,0.37,1.0,0.93
graphmak.csv,0.95,0.34,0.62,0.74,0.85,0.81,0.84,0.98,1.0,0.55
hazelcast.csv,0.51,0.83,0.48,0.67,0.69,0.05,0.68,0.57,0.74,0.52
megasquirtavr.csv,1.0,0.96,0.44,0.78,0.77,1.0,0.8,1.0,0.97,0.85
pdfedit.csv,0.51,0.78,0.59,0.39,0.7,0.94,0.82,0.5,0.57,0.85
stajistics.csv,0.59,0.56,1.0,0.8,0.87,0.26,0.72,0.83,0.43,0.4
twostep.csv,0.35,0.68,0.57,0.67,0.72,0.22,0.83,0.73,0.25,0.65
xharbour.csv,0.25,0.79,0.61,0.63,0.69,0.45,0.77,0.83,0.46,0.65
