,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.57,0.23,0.38,0.71,0.28,0.0,0.77,0.52,0.72,0.6,0.58,0.53,0.73,0.0,0.5,0.82,0.77
codepurge.csv,0.55,0.0,0.81,0.26,0.36,1.0,0.29,0.34,0.52,0.73,0.71,0.5,0.47,0.0,0.79,0.64,0.5
crisscross.csv,0.91,1.0,0.81,0.81,0.7,1.0,0.82,0.89,0.8,0.93,0.42,1.0,0.9,1.0,1.0,0.93,0.95
elvishrayrenderer.csv,0.42,0.08,0.24,0.33,0.4,0.0,0.15,0.27,0.52,0.67,0.08,0.18,0.7,0.0,0.65,0.12,0.36
gisgraphy.csv,0.13,0.0,0.1,0.1,0.01,0.0,0.12,0.03,0.0,0.93,0.12,0.07,0.1,1.0,0.03,0.45,0.77
ivataopenportal.csv,0.82,1.0,1.0,0.89,0.72,0.0,0.85,0.78,0.8,1.0,1.0,1.0,0.9,1.0,0.79,0.96,0.91
lite.csv,0.11,0.08,0.14,0.1,0.3,1.0,0.13,0.11,0.28,0.73,0.04,0.55,0.27,0.0,0.26,0.48,0.18
mb-unit.csv,1.0,0.0,0.9,0.71,1.0,1.0,0.97,0.85,0.98,0.67,0.46,0.77,0.93,1.0,1.0,0.86,0.77
nova.csv,0.59,0.85,0.62,0.44,0.32,1.0,0.4,0.52,0.35,0.27,0.5,0.67,0.5,1.0,0.62,0.51,0.41
olex2.csv,0.49,0.77,0.52,0.62,0.85,0.0,0.44,0.05,0.57,0.2,0.17,0.77,0.2,1.0,0.24,0.27,0.18
openwbem.csv,0.57,0.31,0.43,0.5,0.56,1.0,0.39,0.46,0.45,0.27,0.21,0.67,0.3,1.0,0.65,0.61,0.59
stajistics.csv,0.63,0.46,0.95,0.39,0.51,1.0,0.56,0.91,0.75,0.8,0.5,0.47,0.73,1.0,0.82,0.69,0.59
uwom.csv,0.69,0.0,0.05,0.51,0.36,1.0,0.41,0.59,0.62,0.8,0.0,0.03,0.7,1.0,0.88,0.84,0.55
xcmetadataservicestoolkit.csv,0.37,0.69,0.86,0.51,0.75,1.0,0.6,0.46,0.8,0.13,0.67,0.7,0.2,1.0,0.59,0.19,0.41
