,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.62,0.52,0.49,0.48,0.42,0.3,0.48,0.27,0.45,0.02,0.3,0.54
gdis.csv,0.58,0.48,0.53,0.56,0.68,0.24,0.47,0.26,0.88,0.0,0.44,0.52
kml.csv,0.68,0.43,0.35,0.57,0.77,0.19,0.48,0.23,0.72,0.05,0.54,0.59
ppcboot.csv,0.7,0.5,0.35,0.65,0.69,0.21,0.52,0.24,0.85,0.05,0.59,0.58
repositorium.csv,0.14,0.0,0.01,0.06,0.12,0.36,0.06,0.22,0.26,0.07,0.39,0.29
rsyslog.csv,0.73,0.43,0.44,0.52,0.45,0.24,0.41,0.32,0.76,0.05,0.51,0.59
simplewebservices.csv,0.66,0.4,0.43,0.68,0.64,0.15,0.38,0.31,0.89,0.07,0.58,0.6
ultimairis.csv,0.71,0.43,0.42,0.68,0.71,0.36,0.66,0.24,0.82,0.0,0.37,0.58
wow-qrsk.csv,0.14,0.45,0.58,0.47,0.24,0.0,0.04,0.18,0.22,0.08,0.05,0.37
wxstudio.csv,0.57,0.27,0.13,0.56,0.38,0.23,0.31,0.11,0.67,0.0,0.69,0.06
xbg.csv,0.29,0.04,0.03,0.6,0.24,0.17,0.38,0.43,0.07,0.0,0.15,0.33
xqilla.csv,0.07,0.05,0.19,0.19,0.09,0.11,0.17,0.07,0.32,0.46,0.38,0.22
