,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.44,0.43,0.65,0.61,0.57,0.41,0.33,0.54,0.44,0.73
jmule.csv,0.38,0.44,0.53,0.46,0.45,0.48,0.52,0.47,0.41,0.5
nosleepsoftware.csv,0.88,0.89,0.58,0.0,0.95,0.91,0.0,0.84,0.99,0.43
open-ms.csv,0.35,0.34,0.45,0.83,0.76,0.69,0.53,0.53,0.44,0.35
qgo.csv,0.42,0.36,0.37,0.53,0.47,0.37,0.31,0.39,0.38,0.31
rezilla.csv,0.51,0.42,0.48,0.62,0.85,0.55,0.45,0.45,0.52,0.53
riff-evolve.csv,0.41,0.56,0.71,0.83,0.47,0.53,0.34,0.58,0.54,0.0
uwom.csv,0.44,0.96,0.58,0.64,0.57,0.65,0.67,0.55,0.64,0.62
virtuoso.csv,0.36,0.41,0.43,0.38,0.46,0.43,0.54,0.4,0.48,0.36
yield.csv,0.36,0.34,0.35,0.78,0.47,0.44,0.33,0.41,0.38,0.3
