,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.13,0.68,0.59,0.43,0.39,0.44,0.46,0.52,0.53,0.6,0.56,0.0,0.35,0.29,0.74,0.57,0.98,0.52,0.0
fityk.csv,0.4,0.59,0.0,0.6,0.27,0.44,0.46,0.33,0.72,0.46,0.47,0.0,0.39,0.49,0.37,0.98,0.4,0.48,0.0
ivataopenportal.csv,0.77,0.61,0.46,0.53,0.36,0.99,0.69,0.43,0.54,0.33,0.49,0.0,0.53,0.4,0.59,0.45,0.27,0.34,0.0
lcfizvtop.csv,0.22,0.55,0.48,0.64,0.48,0.26,0.59,0.5,0.41,0.28,1.0,0.0,0.2,0.33,0.55,0.19,0.32,0.27,0.83
lite.csv,0.63,0.15,0.23,0.29,0.1,0.15,0.12,0.28,0.07,0.25,0.0,0.0,0.0,0.37,0.89,0.06,0.07,0.17,0.0
onotoa.csv,0.63,0.47,0.57,0.46,0.57,0.41,0.43,0.98,0.59,0.51,0.21,0.0,0.47,0.6,0.49,0.43,0.35,0.48,0.72
openwbem.csv,0.55,0.98,0.0,0.45,0.54,0.59,0.41,0.38,0.44,0.49,0.53,0.78,0.56,0.52,0.62,0.48,0.64,0.55,0.83
orc.csv,0.13,0.02,0.0,0.9,0.48,0.44,0.37,0.46,0.0,0.49,0.0,0.0,0.11,0.21,0.39,0.06,0.42,0.13,0.0
plato.csv,0.4,0.42,0.0,0.39,0.42,0.39,1.0,0.36,0.35,0.62,0.49,0.41,0.39,0.37,0.52,0.57,0.5,0.23,0.0
rodin-b-sharp.csv,0.61,0.16,0.0,0.35,0.22,0.06,0.45,0.35,0.14,0.98,0.0,0.0,0.0,0.26,0.0,0.17,0.42,0.23,0.99
ta3d.csv,0.48,0.64,0.69,0.16,0.42,0.58,0.51,0.5,0.57,0.4,0.17,0.47,0.44,0.5,0.55,0.32,0.57,0.98,0.51
tycho.csv,0.77,0.64,0.74,0.47,0.46,0.6,0.47,0.42,0.49,0.6,0.46,0.84,0.95,0.47,0.35,0.52,0.61,0.54,0.56
umber.csv,1.0,0.32,0.29,0.34,0.12,0.36,0.17,0.28,0.28,0.44,0.3,0.96,0.2,0.14,0.09,0.35,0.49,0.27,0.87
vienna-add-in.csv,0.64,0.42,0.0,0.24,0.99,0.26,0.36,0.6,0.21,0.38,0.09,0.21,0.17,0.63,0.62,0.21,0.51,0.59,0.13
wpdev.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.24,0.0,0.0
xcmetadataservicestoolkit.csv,0.64,0.51,0.0,0.55,0.57,0.54,0.54,0.4,0.4,0.58,0.4,0.51,0.27,1.0,0.0,0.51,0.4,0.49,0.0
yarp0.csv,0.51,0.35,0.19,0.64,0.47,0.58,0.58,0.45,0.9,0.46,0.59,0.0,0.3,0.36,0.69,0.21,0.61,0.07,0.0
