,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.3,0.7,0.27,0.91,0.88,0.8,0.5,0.67,0.71,0.28,0.29
gabel.csv,0.1,0.07,0.08,0.23,1.0,0.4,0.09,0.08,0.12,0.0,0.0
javaprofiler.csv,0.15,0.2,0.51,0.68,0.75,0.0,0.77,0.27,0.0,0.83,1.0
jmoney.csv,0.9,0.39,0.19,0.23,0.75,0.2,0.01,0.36,0.06,0.1,0.11
mycila.csv,0.6,0.48,0.22,0.5,0.25,0.9,0.45,0.57,0.06,0.52,0.17
neodatis-odb.csv,0.55,0.52,0.97,0.77,0.5,0.1,0.47,0.42,0.65,0.48,0.49
servicestack.csv,0.1,0.33,0.3,0.0,0.38,0.1,0.25,0.08,1.0,0.03,0.11
sqlpower-library.csv,0.6,1.0,0.65,0.36,0.62,0.5,0.25,0.46,0.65,0.31,0.85
synecdoche.csv,0.45,0.46,0.41,0.68,0.75,0.6,0.37,0.41,0.12,0.97,0.57
tmva.csv,0.6,0.67,0.86,0.91,1.0,0.7,0.98,0.87,0.41,0.69,0.49
unicase.csv,0.8,0.72,0.7,0.86,0.88,0.4,0.86,0.99,0.18,0.86,0.47
