,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.34,0.66,0.3,0.92,0.8,0.66,0.54,0.66,0.67,0.32,0.32
gabel.csv,0.12,0.09,0.1,0.27,1.0,0.44,0.11,0.1,0.15,0.0,0.0
javaprofiler.csv,0.18,0.24,0.54,0.54,0.58,0.0,0.13,0.31,0.0,0.09,1.0
jmoney.csv,0.92,0.43,0.23,0.27,0.75,0.24,0.01,0.4,0.07,0.12,0.13
mycila.csv,0.62,0.46,0.26,0.48,0.28,0.92,0.47,0.51,0.07,0.56,0.19
neodatis-odb.csv,0.5,0.54,0.98,0.61,0.5,0.12,0.49,0.43,0.61,0.51,0.44
servicestack.csv,0.12,0.36,0.34,0.0,0.42,0.12,0.29,0.1,1.0,0.04,0.13
sqlpower-library.csv,0.46,0.99,0.55,0.4,0.56,0.39,0.29,0.46,0.62,0.35,0.67
synecdoche.csv,0.49,0.43,0.43,0.6,0.73,0.64,0.41,0.44,0.14,0.97,0.55
tmva.csv,0.61,0.57,0.32,0.66,0.68,0.61,0.98,0.39,0.42,0.64,0.48
unicase.csv,0.69,0.51,0.55,0.23,0.52,0.44,0.54,0.99,0.21,0.56,0.38
