,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.35,0.74,0.26,0.93,0.26,0.36,0.63,0.74,0.48,0.38,0.39
gabel.csv,0.17,0.12,0.11,0.33,1.0,0.33,0.17,0.15,0.21,0.0,0.0
javaprofiler.csv,0.21,0.31,0.49,0.48,0.15,0.0,0.72,0.4,0.0,0.51,1.0
jmoney.csv,0.95,0.52,0.27,0.31,0.34,0.24,0.02,0.51,0.1,0.18,0.18
mycila.csv,0.55,0.56,0.25,0.41,0.09,0.95,0.55,0.63,0.07,0.59,0.24
neodatis-odb.csv,0.39,0.63,0.99,0.55,0.14,0.09,0.58,0.52,0.42,0.49,0.54
servicestack.csv,0.16,0.44,0.33,0.0,0.19,0.08,0.39,0.15,1.0,0.07,0.18
sqlpower-library.csv,0.38,0.99,0.45,0.43,0.15,0.21,0.4,0.55,0.45,0.39,0.79
synecdoche.csv,0.47,0.54,0.37,0.52,0.27,0.52,0.51,0.52,0.14,0.97,0.63
tmva.csv,0.51,0.7,0.48,0.61,0.2,0.33,0.98,0.79,0.29,0.57,0.56
unicase.csv,0.54,0.72,0.46,0.51,0.16,0.29,0.8,0.99,0.23,0.57,0.51
