,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.34,0.39,0.11,0.82,0.6,0.2,0.24,0.73,0.33,0.4
arsenal-1.csv,0.7,0.09,0.7,0.0,0.08,0.08,0.08,0.0,0.14,0.09
barracudamvc.csv,0.76,0.96,0.93,0.95,1.0,0.93,1.0,0.93,1.0,1.0
irplus.csv,0.74,0.7,0.22,0.68,0.8,0.33,0.64,0.87,0.74,0.51
lite.csv,0.68,0.35,0.74,0.18,0.48,0.18,0.28,0.8,0.31,0.4
mumble.csv,0.63,0.96,0.52,0.14,0.84,0.82,0.56,0.53,0.29,0.8
ontopia.csv,0.13,0.74,0.33,0.55,0.96,0.8,0.36,0.8,0.93,0.91
openintents.csv,0.31,0.65,0.93,0.95,0.36,0.39,0.8,0.93,0.67,0.66
ta3d.csv,0.29,0.13,0.7,0.05,0.08,0.26,0.2,0.13,0.07,0.66
tweetsharp.csv,0.35,0.43,0.89,0.82,0.68,0.45,0.48,0.8,0.76,0.51
