,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.9,0.39,0.75,0.62,0.62,0.83,0.43,0.42,0.7,0.7
arsenal-1.csv,0.8,0.29,0.68,0.0,0.4,0.67,0.4,0.0,1.0,1.0
barracudamvc.csv,0.92,0.44,0.46,0.4,0.28,0.87,0.37,0.26,0.75,0.69
irplus.csv,0.86,0.43,0.6,0.58,0.41,0.76,0.57,0.45,0.78,0.75
lite.csv,0.8,0.3,0.53,0.67,0.41,0.82,0.5,0.48,0.93,0.82
mumble.csv,0.88,0.42,0.38,0.33,0.62,0.91,0.3,0.3,0.67,0.78
ontopia.csv,0.74,0.4,0.47,0.36,0.34,0.94,0.3,0.26,0.75,0.7
openintents.csv,0.8,0.6,0.48,0.47,0.16,0.83,0.38,0.33,0.68,0.66
ta3d.csv,0.79,0.43,0.42,1.0,0.33,0.77,0.71,0.33,0.75,0.74
tweetsharp.csv,0.86,0.45,0.49,0.43,0.39,0.94,0.35,0.24,0.89,0.67
