,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.35,0.39,0.09,0.25,0.12,0.26,0.24,0.47,0.96,0.22,0.22,0.35,0.31,0.33,0.56
fluidium.csv,0.33,0.46,0.19,0.21,0.24,0.24,0.15,0.3,0.15,0.15,0.49,0.52,0.27,0.98,0.2
guineu.csv,0.95,0.43,0.63,0.31,0.26,0.09,0.3,0.26,0.26,0.28,0.63,0.39,0.43,0.45,0.37
inkscape.csv,0.31,0.37,0.55,0.33,0.12,0.3,0.99,0.49,0.35,0.43,0.32,0.56,0.5,0.51,0.55
mpqc.csv,0.35,0.2,0.09,0.0,0.0,0.95,0.21,0.57,0.13,0.23,0.73,0.44,0.25,0.37,0.12
nsis.csv,0.46,0.53,0.88,0.26,0.29,0.21,0.71,0.56,0.37,0.4,1.0,0.84,0.64,0.58,0.75
octave.csv,0.37,0.46,0.72,0.28,0.9,0.12,0.57,0.42,0.14,0.31,0.33,0.57,0.45,0.41,0.51
owfs.csv,0.53,0.33,0.25,1.0,0.34,0.09,0.38,0.49,0.53,0.37,0.21,0.35,0.68,0.0,0.5
owlib.csv,0.52,1.0,0.64,0.35,0.28,0.16,0.52,0.52,0.34,0.4,0.75,0.62,0.58,0.65,0.65
pamguard.csv,0.46,0.41,0.88,0.31,0.26,0.36,0.46,0.52,0.43,0.3,0.83,0.44,0.63,0.29,1.0
prelude.csv,0.46,0.53,1.0,0.25,0.31,0.27,0.75,0.63,0.38,0.3,0.71,0.82,0.5,0.48,0.72
robocode.csv,0.47,0.52,0.68,0.33,0.36,0.17,0.57,0.96,0.33,0.34,0.6,0.37,0.69,0.48,0.59
uwom-server.csv,0.17,0.17,0.13,0.21,0.0,0.0,0.19,0.22,0.18,0.93,0.11,0.48,0.16,0.4,0.31
zengine.csv,0.46,0.55,0.84,0.29,0.41,0.23,0.72,0.61,0.43,0.41,0.76,0.99,0.68,0.49,0.77
zildo.csv,0.46,0.47,0.48,0.47,0.16,0.24,0.33,0.38,0.44,0.27,0.56,0.31,0.99,0.31,0.65
