,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.29,0.5,0.0,0.06,0.1,0.8,0.28,0.46,0.0,0.24,0.57,0.0,0.11,0.14,0.55
fluidium.csv,0.17,0.41,0.64,0.29,0.43,0.56,0.16,0.18,0.45,0.32,0.43,0.58,0.18,0.03,0.09
guineu.csv,0.05,0.15,0.55,0.73,0.76,0.56,0.41,0.14,0.61,0.42,0.43,0.92,0.25,0.34,0.21
inkscape.csv,0.6,0.27,0.27,0.58,0.38,0.23,0.03,0.18,0.11,0.32,0.29,0.08,0.36,0.28,0.45
mpqc.csv,0.53,0.11,0.0,0.0,0.11,0.0,0.25,0.71,0.57,0.21,0.57,0.42,0.43,0.48,0.03
nsis.csv,0.81,0.94,1.0,0.96,1.0,0.93,0.91,0.93,0.48,0.94,0.0,1.0,0.75,0.9,0.88
octave.csv,0.24,0.51,0.09,0.5,0.01,0.54,0.44,0.39,0.71,0.31,0.0,0.0,0.5,0.07,0.58
owfs.csv,0.47,0.17,0.0,0.0,0.12,0.22,0.25,0.5,0.21,0.27,0.14,0.0,0.16,0.1,0.3
owlib.csv,0.48,0.0,0.27,0.69,0.57,0.46,0.34,0.79,0.64,0.38,0.86,0.75,0.34,0.34,0.48
pamguard.csv,0.71,0.4,1.0,0.92,0.71,0.5,0.75,0.71,0.48,0.67,0.29,0.08,0.73,0.28,0.0
prelude.csv,0.76,0.87,0.0,0.71,0.95,0.63,0.81,0.71,0.61,0.85,0.71,0.58,0.75,0.59,0.85
robocode.csv,0.62,0.4,0.09,0.65,0.66,0.61,0.59,0.04,0.39,0.56,0.57,0.17,0.5,0.48,0.52
uwom-server.csv,0.12,0.19,0.0,0.29,0.02,0.23,0.12,0.32,0.32,0.0,0.29,0.5,0.05,0.24,0.21
zengine.csv,0.95,0.87,0.36,0.81,0.47,0.76,0.78,0.71,0.41,0.65,0.57,0.0,0.95,0.76,0.94
zildo.csv,0.24,0.29,0.82,0.29,0.33,0.21,0.41,0.11,0.21,0.3,0.29,0.42,0.0,0.41,0.52
