,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.62,0.65,0.5,0.8,0.92,0.5,0.94,0.54,0.67,0.92,0.93,0.88,0.93,0.67,0.42
fluidium.csv,0.94,0.69,0.92,0.94,0.64,0.56,0.89,0.9,0.96,0.92,0.72,0.7,0.94,0.68,0.9
guineu.csv,0.66,0.87,0.64,0.47,0.49,0.55,0.78,0.88,0.73,0.65,0.75,0.7,0.73,0.74,0.91
inkscape.csv,0.43,0.67,0.45,0.39,0.67,0.97,0.45,0.57,0.9,0.63,0.68,0.56,0.53,0.5,0.47
mpqc.csv,0.56,0.97,0.5,0.0,0.91,0.94,0.93,0.54,0.91,0.98,0.73,0.76,0.93,0.64,0.8
nsis.csv,0.38,0.41,0.49,0.42,0.39,0.42,0.38,0.44,0.58,0.43,0.49,0.44,0.41,0.44,0.37
octave.csv,0.83,0.51,0.44,0.47,0.9,0.6,0.49,0.7,0.75,0.58,0.82,0.73,0.61,0.75,0.41
owfs.csv,0.41,0.96,0.83,0.91,0.79,0.58,0.55,0.35,0.62,0.52,0.91,0.88,0.42,0.67,0.55
owlib.csv,0.38,0.54,0.71,0.48,0.56,0.54,0.5,0.47,0.7,0.5,0.64,0.57,0.46,0.64,0.4
pamguard.csv,0.38,0.62,0.49,0.42,0.52,0.64,0.52,0.51,0.61,0.6,0.63,0.92,0.42,0.92,0.44
prelude.csv,0.37,0.44,0.48,0.41,0.4,0.59,0.39,0.42,0.47,0.49,0.47,0.45,0.49,0.48,0.35
robocode.csv,0.36,0.55,0.43,0.35,0.44,0.55,0.52,0.52,0.48,0.54,0.6,0.64,0.39,0.48,0.47
uwom-server.csv,0.9,0.98,0.67,0.94,0.5,0.76,0.89,0.92,0.81,0.86,0.86,0.9,0.83,0.5,0.89
zengine.csv,0.29,0.39,0.41,0.33,0.44,0.49,0.33,0.38,0.42,0.41,0.42,0.41,0.37,0.39,0.31
zildo.csv,0.54,0.71,0.68,0.65,0.74,0.97,0.67,0.89,0.53,0.63,0.75,0.92,0.47,0.83,0.41
