,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.35,0.43,0.05,0.18,0.09,0.8,0.16,0.48,0.92,0.21,0.13,0.21,0.2,0.24,0.51
fluidium.csv,0.27,0.49,0.12,0.27,0.41,0.55,0.09,0.22,0.23,0.16,0.34,0.42,0.18,1.0,0.12
guineu.csv,1.0,0.33,0.52,0.82,0.68,0.2,0.23,0.17,0.54,0.38,0.48,0.32,0.34,0.43,0.25
inkscape.csv,0.42,0.31,0.4,0.73,0.18,0.4,1.0,0.39,0.31,0.54,0.2,0.39,0.45,0.48,0.47
mpqc.csv,0.46,0.13,0.05,0.0,0.0,0.9,0.14,0.74,0.23,0.21,0.6,0.32,0.2,0.38,0.07
nsis.csv,0.85,0.87,1.0,0.82,0.95,0.7,0.93,0.83,0.69,0.96,1.0,0.95,0.82,0.9,0.9
octave.csv,0.35,0.53,0.57,0.55,0.86,0.25,0.53,0.39,0.31,0.36,0.2,0.39,0.43,0.29,0.46
owfs.csv,0.73,0.24,0.14,1.0,0.32,0.1,0.28,0.52,0.69,0.41,0.12,0.21,0.59,0.0,0.39
owlib.csv,0.73,0.99,0.5,0.91,0.59,0.3,0.44,0.7,0.77,0.54,0.64,0.55,0.55,0.71,0.61
pamguard.csv,0.77,0.41,1.0,1.0,0.64,0.8,0.47,0.65,0.85,0.54,0.73,0.29,0.8,0.24,1.0
prelude.csv,0.81,0.83,1.0,0.64,1.0,0.7,0.95,0.87,0.85,0.64,0.58,0.82,0.59,0.57,0.83
robocode.csv,0.73,0.57,0.52,0.82,0.91,0.4,0.58,0.96,0.54,0.55,0.45,0.24,0.8,0.52,0.54
uwom-server.csv,0.12,0.12,0.07,0.27,0.0,0.0,0.12,0.17,0.23,0.88,0.06,0.37,0.09,0.33,0.2
zengine.csv,0.92,0.86,0.79,0.82,0.82,0.65,0.88,0.83,0.77,0.77,0.64,0.97,1.0,0.67,0.95
zildo.csv,0.46,0.44,0.38,0.73,0.23,0.3,0.26,0.26,0.54,0.3,0.4,0.21,0.98,0.29,0.63
