,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.48,0.99,0.26,0.1,0.49,0.54,0.06,0.8,0.74,0.32,0.19,0.63
emulemorph.csv,0.0,0.02,0.0,1.0,0.0,0.0,0.6,0.4,0.08,0.46,0.0,0.17
fulguro.csv,0.36,0.26,0.04,0.0,0.34,0.38,0.2,0.1,0.04,0.37,1.0,0.4
fw4spl.csv,0.53,0.71,0.97,0.09,0.31,0.48,0.58,0.77,0.48,0.64,0.2,0.35
gnome-jabber.csv,0.61,0.58,0.26,0.14,0.57,0.54,0.66,0.99,0.45,0.68,0.31,0.55
ipfilter.csv,0.64,0.68,0.22,0.11,0.47,0.52,0.63,0.92,1.0,0.78,0.2,0.5
ipfire-wall.csv,0.49,0.36,0.21,0.06,0.97,0.51,0.43,0.21,0.58,0.27,0.31,0.28
libmesh.csv,0.49,0.58,0.19,0.16,0.26,0.85,0.71,0.61,0.73,0.66,0.22,0.11
rockbox.csv,0.44,0.48,0.24,0.0,0.36,0.28,0.06,0.48,0.43,0.27,0.23,1.0
soar.csv,0.56,0.55,0.2,0.11,0.22,0.44,0.97,0.47,0.59,0.67,0.08,0.42
tencompetence.csv,0.43,0.2,0.09,0.12,0.44,0.38,0.62,0.06,0.2,0.98,0.35,0.45
xbrlapi.csv,0.98,0.51,0.2,0.06,0.49,0.42,0.43,0.35,0.27,0.53,0.23,0.45
