,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.55,0.99,0.16,0.06,0.35,0.39,1.0,0.94,0.71,0.54,0.11,0.46
emulemorph.csv,0.0,1.0,0.0,1.0,0.0,0.0,0.73,0.89,1.0,0.81,0.0,0.5
fulguro.csv,0.77,0.63,0.05,0.0,0.45,0.37,0.44,1.0,1.0,0.69,1.0,0.83
fw4spl.csv,0.52,0.73,1.0,0.05,0.24,0.38,0.58,0.94,0.56,0.69,0.12,0.28
gnome-jabber.csv,0.55,0.74,0.17,0.08,0.45,0.48,0.59,0.98,0.59,0.62,0.19,0.4
ipfilter.csv,0.51,0.73,0.13,0.06,0.4,0.37,0.62,0.94,1.0,0.71,0.12,0.37
ipfire-wall.csv,0.61,0.9,0.2,0.04,0.95,0.41,0.43,1.0,0.95,0.64,0.24,0.4
libmesh.csv,0.5,0.73,0.13,0.09,0.24,0.82,0.55,0.93,0.83,0.65,0.15,0.12
rockbox.csv,0.52,0.83,0.15,0.0,0.33,0.29,0.33,0.94,0.57,0.51,0.16,1.0
soar.csv,0.5,0.8,0.12,0.06,0.19,0.43,0.97,1.0,0.84,0.71,0.05,0.38
tencompetence.csv,0.48,0.81,0.06,0.07,0.67,0.32,0.59,1.0,1.0,0.98,0.26,0.58
xbrlapi.csv,0.98,0.79,0.15,0.03,0.43,0.34,0.55,0.91,0.62,0.71,0.15,0.58
