,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.44,0.7,0.64,0.52,0.26,0.51,0.68,0.62,0.98,0.49,0.67
google-gears.csv,0.72,0.71,0.7,0.56,0.21,0.55,0.73,1.0,0.55,0.52,0.65
grafx2.csv,0.61,1.0,0.52,0.49,0.24,0.5,0.65,0.65,0.52,0.55,0.71
kmess.csv,0.58,0.66,0.64,0.25,0.25,0.41,1.0,0.49,0.55,0.51,0.64
megameknet.csv,0.55,0.62,0.55,0.33,0.19,0.97,0.54,0.62,0.53,0.44,0.18
minig.csv,0.7,0.69,0.61,1.0,0.32,0.51,0.72,0.68,0.49,0.48,0.75
ns-3.csv,1.0,0.64,0.67,0.48,0.22,0.37,0.68,0.81,0.6,0.45,0.72
omseek.csv,0.15,0.16,0.2,0.35,1.0,0.2,0.17,0.14,0.52,0.35,0.12
quickfast.csv,0.75,0.64,0.61,0.58,0.22,0.46,0.71,0.78,0.61,0.54,1.0
sylpheed-claws.csv,0.64,0.58,1.0,0.46,0.23,0.42,0.57,0.64,0.62,0.57,0.73
xamj.csv,0.71,0.69,0.6,0.5,0.24,0.38,0.7,0.79,0.63,1.0,0.72
