,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.74,0.53,0.58,0.57,0.55,0.44,0.74,0.67,0.03,0.57,0.48
google-gears.csv,0.77,0.74,0.57,0.59,0.91,0.39,0.83,0.0,0.71,0.51,0.82
grafx2.csv,0.58,0.0,0.61,0.59,0.59,0.46,0.6,0.68,0.7,0.47,0.42
kmess.csv,0.66,0.72,0.88,0.84,0.59,0.55,0.0,0.77,0.62,0.53,0.61
megameknet.csv,0.74,0.66,0.61,0.76,0.71,0.04,0.76,0.77,0.83,0.61,0.9
minig.csv,0.55,0.44,0.75,0.0,0.46,0.43,0.72,0.65,0.66,0.56,0.67
ns-3.csv,0.0,0.91,0.61,0.75,0.73,0.71,0.71,0.8,0.58,0.8,0.65
omseek.csv,0.92,0.98,0.88,0.77,0.0,0.93,0.9,0.92,0.68,0.73,0.94
quickfast.csv,0.61,0.98,0.97,0.51,0.69,0.51,0.82,0.53,0.63,0.51,0.0
sylpheed-claws.csv,0.59,0.57,0.01,0.66,0.59,0.57,0.6,0.58,0.55,0.44,0.43
xamj.csv,0.88,0.97,0.74,0.8,0.71,0.84,0.79,0.61,0.84,0.0,0.63
