,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.64,0.41,0.43,0.48,0.48,0.46,0.4,0.42,0.53,0.47,0.44
google-gears.csv,0.44,0.49,0.37,0.37,0.42,0.47,0.38,0.5,0.38,0.48,0.42
grafx2.csv,0.58,0.44,0.46,0.56,0.54,0.46,0.48,0.5,0.54,0.52,0.38
kmess.csv,0.56,0.53,0.48,0.95,0.59,0.72,0.49,0.61,0.54,0.75,0.48
megameknet.csv,0.69,0.57,0.41,0.89,0.62,0.72,0.6,0.64,0.47,0.56,0.88
minig.csv,0.43,0.34,0.42,0.57,0.46,0.41,0.41,0.45,0.64,0.49,0.39
ns-3.csv,0.49,0.57,0.41,0.4,0.49,0.55,0.43,0.47,0.37,0.53,0.43
omseek.csv,0.94,0.95,0.93,0.77,0.97,0.74,0.91,0.89,0.66,0.74,0.8
quickfast.csv,0.45,0.55,0.44,0.41,0.48,0.48,0.41,0.47,0.43,0.41,0.38
sylpheed-claws.csv,0.45,0.39,0.5,0.43,0.46,0.48,0.55,0.48,0.39,0.47,0.3
xamj.csv,0.42,0.53,0.46,0.44,0.43,0.51,0.41,0.4,0.39,0.65,0.36
