,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.05,0.54,0.01,0.18,0.69,0.15,0.42,0.52,0.21,0.05,0.46,0.3,0.0,0.46,0.53,0.17,0.57,0.41,0.43,0.38
blogentis.csv,0.05,0.4,0.02,0.16,0.78,0.16,0.49,0.51,0.05,0.05,0.45,0.2,0.08,0.3,0.33,0.14,0.41,0.15,0.33,0.34
free-evolution.csv,0.11,0.53,0.02,0.2,0.46,0.13,0.41,0.62,0.18,0.04,0.52,0.35,0.08,0.26,0.4,0.17,0.45,0.61,0.44,0.45
gtad.csv,0.22,0.54,0.02,0.08,0.25,0.24,0.42,0.11,0.07,0.09,0.39,0.37,0.4,0.21,0.51,0.28,0.45,0.58,0.38,0.28
htmlunit.csv,0.11,0.49,0.01,0.26,0.49,0.2,0.35,0.3,0.21,0.06,0.54,0.42,0.0,0.2,0.53,0.22,0.44,0.56,0.47,0.36
ipfire-wall.csv,0.25,0.41,0.04,0.0,0.46,0.06,0.39,0.15,0.09,0.0,0.31,0.25,0.17,0.25,0.71,0.19,0.36,0.33,0.0,0.13
irplus.csv,0.1,0.46,0.01,0.22,0.6,0.23,0.45,0.38,0.05,0.18,0.57,0.43,0.0,0.33,0.67,0.22,0.58,0.53,0.59,0.36
jasperreports.csv,0.06,0.52,0.02,0.24,0.83,0.09,0.32,0.83,0.2,0.12,0.48,0.28,0.13,0.31,0.57,0.45,0.36,0.61,0.4,0.32
jaxlib.csv,0.14,0.21,0.15,0.17,0.22,0.2,0.31,0.71,0.1,0.0,0.24,0.17,0.67,0.13,0.43,0.14,0.51,0.35,0.23,0.4
jvcl.csv,0.1,0.17,0.36,0.26,0.37,0.18,0.45,0.11,0.26,0.0,0.3,0.18,0.11,0.23,0.48,0.08,0.37,0.3,0.55,0.38
kaffeine.csv,0.06,0.35,0.01,0.18,0.89,0.19,0.45,0.66,0.08,0.05,0.54,0.29,0.08,0.32,0.51,0.14,0.55,0.5,0.39,0.39
m-m-m.csv,0.11,0.43,0.03,0.15,0.67,0.13,0.36,0.88,0.18,0.03,0.38,0.22,0.09,0.26,0.55,0.11,0.55,0.35,0.34,0.38
myfaces.csv,0.08,0.5,0.01,0.22,0.28,0.17,0.45,0.39,0.03,0.0,0.52,0.5,0.12,0.16,0.62,0.18,0.43,0.54,0.46,0.3
nh3d.csv,0.05,0.47,0.8,0.0,0.9,0.12,0.41,0.91,0.2,0.03,0.36,0.24,0.11,0.28,0.49,0.14,0.53,0.38,0.35,0.38
poormans.csv,0.0,0.13,0.01,0.17,0.25,0.37,0.32,0.34,0.14,0.5,0.54,0.41,0.08,0.17,0.0,0.32,0.24,0.42,0.62,0.11
sarasvati.csv,0.07,0.33,0.02,0.1,0.25,0.28,0.18,0.44,0.05,0.11,0.38,0.33,0.17,0.31,0.45,0.23,0.55,0.53,0.24,0.38
smartgwt.csv,0.09,0.49,0.02,0.35,0.71,0.11,0.34,0.56,0.16,0.12,0.43,0.31,0.12,0.25,0.58,0.11,0.32,0.63,0.4,0.37
taokgame.csv,0.15,0.0,0.0,0.16,0.19,0.03,0.26,0.18,0.67,0.0,0.22,0.16,0.0,0.21,0.42,0.14,0.21,0.2,0.37,0.3
wgs-assembler.csv,0.15,0.48,0.02,0.15,0.42,0.13,0.45,0.15,0.36,0.04,0.48,0.25,0.13,0.28,0.35,0.25,0.45,0.46,0.44,0.33
