,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.02,0.92,0.47,1.0,0.43,0.51,0.77,0.77,0.54,0.35,0.05,0.46,0.54,0.44
encog-cs.csv,0.04,0.55,0.42,0.81,0.35,0.45,0.81,0.91,0.98,0.28,0.05,0.5,0.7,0.43
extprosys.csv,0.02,0.74,0.93,0.91,0.42,0.43,0.79,0.88,0.5,0.33,0.04,0.51,0.64,0.41
intact.csv,0.0,0.71,0.47,0.71,0.35,0.98,0.61,0.6,0.39,0.33,0.08,0.25,0.37,0.36
japano.csv,0.02,0.87,0.5,0.74,0.35,0.45,0.82,1.0,0.52,0.32,0.06,0.5,0.68,0.54
lockss.csv,0.0,0.04,0.15,0.26,0.11,0.1,0.38,0.21,0.25,0.98,0.01,0.48,0.29,0.1
officefloor.csv,0.0,0.58,0.43,0.86,0.32,0.32,0.79,0.89,0.09,0.17,0.81,0.48,0.55,0.57
opennms.csv,0.0,0.36,0.24,0.28,0.98,0.15,0.48,0.16,0.26,0.24,0.11,0.39,0.13,0.1
primefaces.csv,0.03,0.82,0.45,0.67,0.32,0.38,0.75,0.64,0.31,0.1,0.04,0.25,0.99,0.6
rohxel.csv,0.03,0.93,0.41,0.8,0.39,0.45,1.0,0.88,0.5,0.31,0.06,0.39,0.67,0.38
roolo.csv,0.0,0.18,0.16,0.13,0.09,0.1,0.0,0.25,0.31,0.37,0.03,0.95,0.27,0.17
sevenupdate.csv,0.0,1.0,0.42,0.93,0.39,0.47,0.19,0.93,0.32,0.34,0.06,0.2,0.39,0.16
web-cat.csv,0.0,0.43,0.23,0.57,0.29,0.35,0.51,0.42,0.17,0.2,0.02,0.41,0.35,1.0
