,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.82,0.83,0.66,0.07,0.74,0.55,0.64,0.78,0.76,0.87,0.96,0.62,0.33,0.74
encog-cs.csv,0.45,0.67,0.34,0.71,0.74,0.77,1.0,0.89,0.0,0.43,0.7,0.84,0.93,0.81
extprosys.csv,0.93,0.67,0.01,0.93,0.92,0.93,0.73,0.89,0.91,0.88,0.86,0.89,0.63,0.87
intact.csv,0.42,0.33,0.09,0.5,0.38,0.0,0.64,0.22,0.34,0.64,0.32,0.41,0.48,0.13
japano.csv,0.99,1.0,0.54,0.71,0.94,0.9,0.36,0.0,0.78,0.98,0.95,1.0,0.89,0.71
lockss.csv,0.07,0.17,0.07,0.14,0.1,0.11,0.0,0.11,0.1,0.0,0.43,0.05,0.3,0.0
officefloor.csv,0.1,0.33,0.86,0.86,0.38,0.53,0.91,0.78,0.0,0.46,0.0,0.73,0.48,0.77
opennms.csv,0.17,0.17,0.09,0.14,0.0,0.1,0.45,0.0,0.06,0.09,0.12,0.14,0.15,0.03
primefaces.csv,0.63,1.0,0.96,0.43,0.45,0.77,0.73,0.89,0.53,0.36,0.66,0.59,0.04,0.68
rohxel.csv,0.62,1.0,0.65,0.71,0.75,0.71,0.0,0.67,0.92,0.66,0.77,0.81,0.78,0.77
roolo.csv,0.1,0.17,0.02,0.0,0.19,0.11,0.0,0.0,0.18,0.1,0.42,0.0,0.15,0.1
sevenupdate.csv,0.97,0.0,0.95,1.0,0.71,0.85,0.0,1.0,0.1,0.28,0.88,0.19,0.37,0.52
web-cat.csv,0.31,0.33,0.12,0.57,0.42,0.23,0.45,0.22,0.08,0.35,0.22,0.51,0.41,0.0
