,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.01,0.9,0.33,0.99,0.29,0.38,0.81,0.92,0.39,0.22,0.03,0.36,0.67,0.34
encog-cs.csv,0.02,0.83,0.36,0.89,0.24,0.31,0.76,0.93,1.0,0.2,0.02,0.35,0.58,0.32
extprosys.csv,0.01,0.89,0.98,0.88,0.27,0.28,0.79,0.93,0.35,0.2,0.02,0.35,0.61,0.31
intact.csv,0.0,0.93,0.62,0.9,0.29,1.0,0.74,0.96,0.39,0.21,0.04,0.25,0.48,0.56
japano.csv,0.01,0.88,0.37,0.87,0.23,0.3,0.88,1.0,0.38,0.19,0.03,0.34,0.58,0.41
lockss.csv,0.0,0.5,0.33,0.89,0.2,0.2,1.0,0.94,0.48,1.0,0.01,0.78,0.5,1.0
officefloor.csv,0.0,0.91,0.29,0.88,0.28,0.25,0.76,0.94,1.0,0.12,0.83,0.36,0.61,0.41
opennms.csv,0.0,0.92,0.43,0.89,1.0,0.3,0.74,1.0,0.61,0.33,0.07,0.55,0.43,0.5
primefaces.csv,0.01,0.86,0.29,0.9,0.26,0.26,0.78,0.89,0.28,0.08,0.02,0.21,0.98,0.45
rohxel.csv,0.02,0.89,0.29,0.88,0.27,0.32,1.0,0.94,0.35,0.2,0.03,0.29,0.6,0.29
roolo.csv,0.0,0.83,0.62,1.0,0.12,0.2,0.0,1.0,0.43,0.44,0.02,1.0,0.64,0.4
sevenupdate.csv,0.0,1.0,0.27,0.88,0.27,0.31,1.0,0.93,0.56,0.28,0.03,0.3,0.55,0.16
web-cat.csv,0.0,0.88,0.36,0.85,0.24,0.37,0.75,0.94,0.41,0.16,0.01,0.34,0.5,1.0
