,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.52,0.49,0.64,0.99,0.57,0.69,0.61,0.47,0.57,0.43,0.17,0.57,0.48,0.49
encog-cs.csv,0.86,0.39,0.52,0.57,0.5,0.55,0.0,0.37,0.96,0.47,0.51,0.46,0.27,0.43
extprosys.csv,0.27,0.53,0.91,0.27,0.3,0.27,0.57,0.36,0.32,0.39,0.38,0.37,0.58,0.36
intact.csv,0.0,0.59,0.43,0.56,0.46,0.98,0.47,0.48,0.42,0.61,0.53,0.28,0.33,0.3
japano.csv,0.05,0.0,0.69,0.52,0.23,0.35,0.74,1.0,0.54,0.09,0.21,0.0,0.36,0.59
lockss.csv,0.0,0.02,0.11,0.19,0.09,0.09,0.27,0.15,0.2,0.96,0.13,0.4,0.23,0.06
officefloor.csv,0.0,0.46,0.43,0.42,0.42,0.44,0.31,0.54,0.06,0.3,0.82,0.55,0.5,0.57
opennms.csv,0.0,0.26,0.2,0.2,0.97,0.12,0.39,0.11,0.2,0.21,0.33,0.34,0.1,0.06
primefaces.csv,0.75,0.0,0.17,0.54,0.45,0.48,0.54,0.29,0.38,0.17,0.46,0.32,0.99,0.66
rohxel.csv,0.75,0.0,0.57,0.56,0.54,0.59,1.0,0.63,0.29,0.57,0.57,0.42,0.52,0.42
roolo.csv,0.0,0.12,0.11,0.09,0.09,0.09,0.0,0.17,0.28,0.37,0.29,0.92,0.21,0.13
sevenupdate.csv,0.0,1.0,0.2,0.0,0.55,0.46,0.12,0.0,0.27,0.49,0.39,0.18,0.34,0.18
web-cat.csv,0.0,0.33,0.2,0.43,0.39,0.37,0.41,0.31,0.13,0.31,0.13,0.5,0.31,1.0
