,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.48,0.74,0.6,0.96,0.21,0.53,0.76,0.43,0.47,0.67
firebird.csv,0.96,0.23,0.6,0.56,0.69,0.6,0.73,0.43,0.6,0.5
fmri-dmt.csv,0.1,0.17,0.1,0.09,0.07,0.11,0.11,0.0,0.09,0.83
htmlunit.csv,0.14,0.2,0.1,0.18,0.4,0.94,0.22,0.0,0.06,0.33
monetdb.csv,0.51,0.14,1.0,0.47,0.52,0.45,0.44,0.5,1.0,0.17
ontomorphtab.csv,0.53,1.0,0.9,0.8,0.86,0.68,0.82,0.93,0.66,1.0
smarttag.csv,0.15,0.17,0.0,0.23,0.36,0.13,0.11,0.93,0.11,0.17
taokgame.csv,0.03,0.74,1.0,0.57,0.26,0.0,0.16,0.79,0.04,0.5
webdriver.csv,0.36,0.4,0.8,0.47,0.17,0.33,0.98,0.57,0.43,0.17
xbplayer.csv,0.4,0.23,0.2,0.36,1.0,0.49,0.44,0.07,0.28,0.33
