,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.65,0.44,0.51,0.29,0.0,0.16,0.36,0.26,0.2
aime.csv,0.08,0.75,0.28,0.13,0.93,0.24,0.44,0.27,0.22,0.23
badtrinitycore.csv,0.19,0.12,0.18,0.91,0.36,0.68,0.32,0.2,0.39,0.43
electric-core.csv,0.69,0.72,0.93,0.77,0.79,0.48,0.64,0.38,0.74,0.63
geochat.csv,0.15,0.51,0.15,0.23,0.29,0.08,0.16,0.69,0.04,0.93
mumble.csv,0.69,0.57,0.44,0.51,0.21,0.24,1.0,0.43,0.39,0.3
olsrd.csv,0.96,1.0,0.89,0.94,0.79,0.64,0.84,0.87,0.61,0.43
silvertree.csv,0.35,0.19,0.4,0.19,0.21,0.96,0.56,0.42,0.35,0.13
skia.csv,0.85,0.21,0.31,0.66,0.43,0.2,0.32,0.22,1.0,0.43
t-2.csv,0.27,0.26,0.28,0.26,0.43,0.52,0.4,0.95,0.52,0.73
