,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.92,0.34,0.16,0.4,0.0,0.57,0.18,0.55,0.26
aime.csv,0.5,0.78,0.36,0.12,1.0,0.67,0.48,0.09,0.62,0.18
badtrinitycore.csv,0.71,0.89,0.47,1.0,0.12,0.42,0.23,0.07,0.26,0.21
electric-core.csv,0.51,0.77,0.99,0.11,0.15,0.31,0.31,0.11,0.37,0.23
geochat.csv,0.33,0.95,0.14,0.24,0.4,0.5,0.31,0.12,0.2,1.0
mumble.csv,0.75,0.93,0.3,0.21,0.2,0.35,1.0,0.21,0.53,0.28
olsrd.csv,0.52,1.0,0.22,0.13,0.22,0.42,0.37,0.14,0.4,0.24
silvertree.csv,0.45,0.54,0.4,0.22,0.21,0.92,0.36,0.1,0.38,0.27
skia.csv,0.59,1.0,0.37,0.12,0.18,0.38,0.44,0.06,1.0,0.27
t-2.csv,0.37,0.56,0.18,0.09,0.16,0.33,0.2,1.0,0.32,0.22
