,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,0.41,0.61,0.61,0.72,1.0,0.84,0.68,0.75,0.82
aime.csv,0.93,0.74,0.73,0.88,0.07,0.76,0.59,0.82,0.79,0.83
badtrinitycore.csv,0.81,0.88,0.82,0.09,0.82,0.73,0.8,0.87,0.82,0.76
electric-core.csv,0.77,0.8,0.07,0.81,0.91,0.93,0.66,0.76,0.68,0.73
geochat.csv,0.91,0.5,0.89,0.77,0.72,0.92,0.85,0.77,0.96,0.07
mumble.csv,0.4,0.45,0.63,0.55,0.81,0.82,0.0,0.61,0.63,0.74
olsrd.csv,0.96,0.0,0.84,0.81,0.61,0.72,0.58,0.78,0.6,0.7
silvertree.csv,0.8,0.98,0.62,0.81,0.8,0.07,0.58,0.79,0.71,0.87
skia.csv,0.64,0.79,0.7,0.7,0.7,0.83,0.7,0.9,0.0,0.67
t-2.csv,0.89,1.02,0.8,0.82,0.74,0.88,0.85,0.05,0.72,0.83
