,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.75,0.94,0.42,0.34,0.51,0.05,0.51,0.38,0.05,0.23,0.24
avisynth2.csv,0.04,0.0,0.02,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0
coot.csv,0.51,0.39,0.73,0.56,0.47,0.14,0.64,0.58,0.18,1.0,0.42
dsworkbench.csv,0.99,0.57,0.49,0.41,0.39,0.0,0.38,0.15,0.17,0.16,0.26
freelords.csv,0.77,0.6,0.99,0.46,0.53,0.11,0.61,0.58,0.17,0.52,0.5
gephex.csv,0.84,0.66,0.59,0.47,0.52,0.0,0.99,0.61,0.18,0.63,0.59
jas.csv,0.04,0.25,0.2,0.0,0.0,0.0,0.1,0.14,1.0,0.13,0.26
jpaul.csv,0.59,0.06,0.07,1.0,0.39,0.22,0.08,0.29,0.15,0.12,0.06
ngl.csv,0.6,0.5,0.63,0.51,0.42,0.15,0.47,0.98,0.11,0.61,0.45
scenemonitor.csv,0.8,0.54,0.71,0.52,1.0,0.27,0.63,0.63,0.15,0.55,0.41
synecdoche.csv,0.41,0.28,0.48,0.19,0.31,0.0,0.36,0.37,0.05,0.24,0.98
