,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.48,0.91,0.32,0.33,0.49,0.34,0.43,0.33,0.14,0.21,0.2
avisynth2.csv,0.02,0.0,0.01,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0
coot.csv,0.4,0.35,0.65,0.62,0.54,0.76,0.57,0.55,0.7,1.0,0.48
dsworkbench.csv,0.98,0.5,0.39,0.45,0.34,0.0,0.29,0.12,0.53,0.12,0.24
freelords.csv,0.38,0.51,0.99,0.63,0.46,0.57,0.49,0.55,0.72,0.51,0.56
gephex.csv,0.24,0.55,0.49,0.59,0.6,0.0,0.98,0.46,0.62,0.58,0.66
jas.csv,0.02,0.18,0.13,0.0,0.0,0.0,0.07,0.1,1.0,0.1,0.2
jpaul.csv,0.49,0.04,0.05,1.0,0.34,0.38,0.05,0.24,0.61,0.1,0.04
ngl.csv,0.5,0.47,0.54,0.65,0.47,0.67,0.41,0.98,0.41,0.61,0.48
scenemonitor.csv,0.66,0.5,0.54,0.69,1.0,0.93,0.55,0.62,0.65,0.48,0.46
synecdoche.csv,0.3,0.2,0.38,0.15,0.33,0.0,0.29,0.33,0.14,0.18,0.98
