,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.45,0.65,0.72,0.67,0.73,0.54,0.64,0.83,0.64,0.95,0.92
avisynth2.csv,0.5,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.67,0.0,0.0
coot.csv,0.52,0.57,0.52,0.47,0.41,0.44,0.43,0.51,0.57,0.53,0.49
dsworkbench.csv,0.43,0.91,0.71,0.59,0.91,0.55,0.92,0.98,0.56,0.89,0.94
freelords.csv,0.39,0.49,0.42,0.46,0.34,0.4,0.39,0.57,0.44,0.55,0.38
gephex.csv,0.39,0.51,0.54,0.5,0.41,0.54,0.49,0.53,0.5,0.54,0.47
jas.csv,0.0,0.92,0.92,0.0,0.0,0.0,0.88,0.97,0.88,0.83,0.89
jpaul.csv,0.43,0.5,0.83,0.65,0.73,0.83,0.67,0.97,0.61,0.88,0.67
ngl.csv,0.48,0.6,0.52,0.5,0.52,0.65,0.48,0.56,0.52,0.42,0.52
scenemonitor.csv,0.4,0.48,0.47,0.49,0.55,0.58,0.39,0.47,0.53,0.41,0.4
synecdoche.csv,0.79,0.92,0.58,0.75,0.68,0.9,0.86,0.8,0.76,0.89,0.61
