,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.76,0.9,0.28,0.29,0.45,0.33,0.39,0.29,0.12,0.18,0.17
avisynth2.csv,0.02,0.0,0.01,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0
coot.csv,0.36,0.32,0.65,0.59,0.55,1.0,0.62,0.54,0.75,1.0,0.48
dsworkbench.csv,0.98,0.45,0.35,0.41,0.3,0.0,0.25,0.1,0.5,0.1,0.21
freelords.csv,0.8,0.68,0.99,0.76,0.85,1.0,0.62,0.63,0.88,0.55,0.66
gephex.csv,0.94,0.78,0.44,0.59,0.7,0.0,0.97,0.75,0.62,0.75,0.79
jas.csv,0.02,0.15,0.11,0.0,0.0,0.0,0.06,0.08,1.0,0.08,0.17
jpaul.csv,0.46,0.03,0.04,1.0,0.3,0.33,0.04,0.2,0.62,0.08,0.03
ngl.csv,0.5,0.45,0.52,0.65,0.45,0.67,0.39,0.98,0.38,0.65,0.45
scenemonitor.csv,0.8,0.48,0.68,0.88,1.0,1.0,0.63,0.66,0.75,0.65,0.45
synecdoche.csv,0.26,0.17,0.35,0.12,0.3,0.0,0.25,0.29,0.12,0.15,0.97
