,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.63,0.04,0.41,0.0,0.2,0.16,0.2,0.21,0.4,0.96,0.35,0.0,0.25
apolloplayer.csv,0.45,0.71,0.65,1.0,0.8,0.44,0.83,0.74,0.94,0.44,0.65,1.0,0.64
auber.csv,0.39,0.96,0.35,1.0,0.97,0.88,0.83,0.7,0.87,0.92,0.8,1.0,0.79
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6,1.0
k3d.csv,0.61,0.12,0.18,0.0,0.54,0.12,0.83,0.44,0.79,0.72,0.22,0.4,0.34
nug.csv,0.55,0.21,0.82,0.0,0.31,0.06,0.63,0.53,0.3,0.08,0.25,0.0,0.48
owlapi.csv,0.82,0.25,0.35,1.0,0.43,0.47,0.4,0.16,0.69,0.8,0.45,0.0,0.34
ppcboot.csv,0.97,1.0,1.0,1.0,1.0,0.88,0.8,0.7,0.58,1.0,0.97,1.0,0.97
red5.csv,0.84,0.54,1.0,1.0,0.77,0.44,0.97,0.72,0.86,0.92,0.83,1.0,0.81
redshell.csv,0.26,0.33,0.41,0.0,0.69,0.76,0.77,0.56,0.83,0.56,0.51,0.4,0.46
utgb.csv,0.34,0.42,0.06,0.0,0.66,0.23,0.1,0.26,0.15,0.04,0.33,0.4,0.19
xreal.csv,0.08,0.17,0.06,0.0,0.43,0.23,0.37,0.47,0.18,0.08,0.2,1.0,0.01
