,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.35,0.05,0.34,0.0,0.31,0.28,0.17,0.32,0.48,0.33,0.49,0.0,0.35
apolloplayer.csv,0.18,0.58,0.45,0.01,0.64,0.61,0.31,0.65,0.68,0.27,0.71,0.09,0.69
auber.csv,0.18,0.37,0.27,0.0,0.68,0.91,0.24,0.62,0.67,0.26,0.78,0.05,0.79
irrlicht.csv,0.24,0.38,0.49,0.0,0.69,0.98,0.26,0.75,0.69,0.28,0.76,0.05,0.71
k3d.csv,0.21,0.2,0.25,0.0,0.54,0.21,0.57,0.51,0.64,0.22,0.34,0.05,0.46
nug.csv,0.21,0.28,0.65,0.0,0.41,0.12,0.45,0.59,0.35,0.13,0.38,0.0,0.45
owlapi.csv,0.34,0.22,0.33,0.03,0.58,0.63,0.15,0.27,0.62,0.51,0.56,0.0,0.37
ppcboot.csv,0.23,0.4,0.49,0.0,0.7,0.92,0.25,0.67,0.63,0.28,0.86,0.05,0.72
red5.csv,0.24,0.39,0.54,0.02,0.7,0.6,0.26,0.73,0.66,0.37,0.8,0.06,0.65
redshell.csv,0.16,0.28,0.33,0.0,0.59,0.85,0.25,0.55,0.66,0.19,0.63,0.05,0.55
utgb.csv,0.3,0.41,0.08,0.0,0.71,0.36,0.12,0.39,0.22,0.06,0.47,0.15,0.31
xreal.csv,0.08,0.13,0.08,0.0,0.47,0.37,0.18,0.5,0.25,0.05,0.31,0.77,0.03
