,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.17,0.02,0.17,0.2,0.22,0.31,0.09,0.33,0.0,0.33,0.1,0.18,0.42
badtrinity-zero.csv,0.47,0.3,0.01,0.48,0.44,0.17,0.45,0.33,0.34,0.38,0.43,0.43,0.64
betoffice.csv,0.36,0.98,0.78,0.67,0.02,0.52,0.62,0.78,0.74,0.77,0.59,0.76,0.56
exordium.csv,0.0,0.02,0.07,0.03,0.33,0.08,0.0,0.44,0.16,0.23,0.12,0.11,0.42
fltk.csv,0.39,0.08,0.29,0.0,0.58,0.23,0.54,0.56,0.38,0.4,0.29,0.16,0.58
gabel.csv,0.0,0.0,0.0,0.0,0.2,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0
genoviz.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.01,0.0
irrlicht.csv,0.86,0.6,0.76,0.76,0.11,0.31,0.73,1.0,0.76,0.58,0.04,0.81,0.47
nug.csv,0.0,0.02,0.28,0.12,0.18,0.48,0.2,0.67,0.36,0.54,0.45,0.47,0.33
rezilla.csv,0.86,0.0,0.61,0.68,0.8,0.81,0.46,0.44,0.71,0.59,0.51,0.51,0.87
toped.csv,1.0,0.22,0.27,0.81,0.11,0.61,0.59,0.11,0.31,0.49,0.94,0.54,0.62
xmemcached.csv,0.06,0.18,0.21,0.13,0.33,0.0,0.34,0.78,0.5,0.33,0.22,0.48,0.44
zoolib.csv,0.06,0.02,0.26,0.19,0.11,0.06,0.23,0.33,0.34,0.09,0.41,0.0,0.13
