,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.89,0.5,0.83,0.81,0.71,0.61,0.75,0.88,0.75,0.42,0.88,0.69,0.41
badtrinity-zero.csv,0.46,0.52,0.54,0.48,0.62,0.64,0.42,0.36,0.48,0.54,0.44,0.54,0.36
betoffice.csv,0.82,0.38,0.62,0.55,0.6,0.57,0.61,0.72,0.53,0.5,0.66,0.6,0.43
exordium.csv,0.5,0.0,0.92,0.95,0.67,0.71,0.75,0.59,0.8,0.52,0.8,0.97,0.35
fltk.csv,0.52,0.67,0.6,0.54,0.47,0.52,0.48,0.37,0.6,0.55,0.58,0.93,0.43
gabel.csv,0.0,0.0,0.0,0.0,0.93,0.67,0.0,0.0,0.5,0.88,0.0,0.0,0.0
genoviz.csv,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.75,0.5,0.75,0.8
irrlicht.csv,0.4,0.46,0.47,0.48,0.9,0.66,0.47,0.33,0.44,0.56,0.5,0.52,0.48
nug.csv,0.81,0.5,0.97,0.97,0.95,0.63,0.91,0.52,0.85,0.64,0.84,0.78,0.53
rezilla.csv,0.34,0.67,0.5,0.43,0.38,0.41,0.56,0.33,0.44,0.45,0.46,0.57,0.35
toped.csv,0.37,0.81,0.59,0.46,0.92,0.4,0.5,0.33,0.71,0.49,0.48,0.59,0.36
xmemcached.csv,0.75,0.88,0.94,0.66,0.58,0.68,0.62,0.39,0.54,0.44,0.89,0.64,0.36
zoolib.csv,0.75,0.5,0.97,0.92,0.8,0.89,0.8,0.7,0.96,0.91,0.99,0.96,0.88
