,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.66,0.73,0.6,0.48,0.11,0.42,0.69,0.78,0.93,0.47,0.81
google-gears.csv,0.67,0.53,0.47,0.39,0.12,0.39,0.65,1.0,0.48,0.29,0.51
grafx2.csv,0.72,1.0,0.59,0.58,0.15,0.41,0.63,0.82,0.52,0.5,0.78
kmess.csv,0.7,0.51,0.45,0.44,0.15,0.33,0.99,0.77,0.52,0.34,0.66
megameknet.csv,0.69,0.66,0.59,0.41,0.11,1.0,0.64,0.78,0.54,0.4,1.0
minig.csv,0.74,0.55,0.59,0.98,0.19,0.37,0.65,0.79,0.52,0.43,0.79
ns-3.csv,0.99,0.5,0.47,0.38,0.12,0.27,0.63,0.78,0.52,0.29,0.62
omseek.csv,0.89,0.67,0.6,0.32,1.0,0.14,1.0,1.0,0.57,0.41,0.8
quickfast.csv,0.7,0.62,0.45,0.48,0.1,0.26,0.67,0.76,0.49,0.44,1.0
sylpheed-claws.csv,0.74,0.74,1.0,0.35,0.17,0.26,0.69,0.84,0.58,0.41,0.81
xamj.csv,0.61,0.5,0.52,0.3,0.09,0.26,0.67,0.76,0.47,0.99,0.72
