,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.28,0.26,0.38,0.3,0.44,0.26,0.55,0.43,0.06,0.28,0.19
google-gears.csv,0.75,0.97,0.92,0.54,0.82,0.25,0.82,0.0,0.79,0.72,0.91
grafx2.csv,0.28,0.0,0.25,0.1,0.49,0.25,0.62,0.41,0.31,0.24,0.25
kmess.csv,0.37,0.89,0.85,0.3,0.44,0.3,0.02,0.43,0.52,0.42,0.47
megameknet.csv,0.51,0.32,0.31,0.24,0.63,0.0,0.44,0.49,0.49,0.33,0.0
minig.csv,0.44,0.76,0.46,0.01,0.38,0.3,0.62,0.43,0.45,0.27,0.25
ns-3.csv,0.01,0.92,0.76,0.67,0.52,0.61,0.78,0.68,0.41,0.7,0.66
omseek.csv,0.01,0.03,0.03,0.19,0.0,0.53,0.0,0.0,0.13,0.13,0.03
quickfast.csv,0.44,0.45,0.76,0.42,0.49,0.54,0.55,0.43,0.48,0.27,0.0
sylpheed-claws.csv,0.27,0.18,0.0,0.52,0.32,0.54,0.29,0.27,0.35,0.45,0.19
xamj.csv,0.63,0.82,0.45,0.71,0.59,0.52,0.45,0.57,0.83,0.0,0.25
