,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.78,0.46,0.55,0.6,0.7,0.45,0.61,0.67,0.09,0.5,0.48
google-gears.csv,0.78,0.97,0.93,0.67,0.82,0.53,0.82,0.01,0.81,0.79,0.98
grafx2.csv,0.69,0.02,0.66,0.77,0.58,0.48,0.72,0.58,0.68,0.5,0.48
kmess.csv,0.68,0.91,0.88,0.66,0.57,0.58,0.02,0.69,0.62,0.65,0.61
megameknet.csv,0.67,0.56,0.61,0.76,0.75,0.07,0.69,0.66,0.59,0.59,0.89
minig.csv,0.58,0.78,0.53,0.01,0.47,0.5,0.7,0.66,0.62,0.59,0.42
ns-3.csv,0.02,0.94,0.81,0.74,0.67,0.65,0.81,0.72,0.64,0.78,0.7
omseek.csv,0.95,0.95,0.95,0.87,0.15,0.88,0.89,0.95,0.81,0.8,0.92
quickfast.csv,0.66,0.57,0.83,0.53,0.73,0.65,0.64,0.71,0.66,0.57,0.02
sylpheed-claws.csv,0.66,0.57,0.04,0.74,0.58,0.64,0.69,0.62,0.57,0.53,0.5
xamj.csv,0.8,0.86,0.65,0.86,0.78,0.63,0.65,0.72,0.84,0.06,0.61
