,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.39,0.6,0.04,1.0,0.41,0.58,0.8,0.4,0.18,0.67,0.74,0.08,0.23
avifile.csv,0.16,1.0,0.04,0.0,0.1,0.46,0.03,0.43,0.35,0.5,0.22,0.2,0.89
baadengine.csv,0.72,0.8,0.2,1.0,0.51,0.31,1.0,0.94,0.89,0.8,1.0,1.0,1.0
gdis.csv,0.39,0.2,0.8,0.0,0.73,0.5,1.0,0.8,0.74,1.0,0.57,0.52,0.79
gogoego.csv,0.45,0.0,0.55,1.0,0.76,0.62,0.87,0.46,0.58,0.83,0.91,0.48,0.77
impala.csv,0.12,0.8,0.34,1.0,0.78,0.85,0.37,0.49,0.5,0.17,0.22,0.52,0.25
jgameai.csv,0.03,0.8,0.05,0.0,0.15,0.54,1.0,0.23,0.08,0.37,0.26,0.4,0.05
jhotdraw.csv,0.76,0.8,0.83,1.0,0.88,0.69,0.0,0.82,0.6,0.37,0.57,0.24,0.19
patterntesting.csv,0.98,0.8,0.83,1.0,0.98,0.96,1.0,0.93,0.92,0.63,0.96,0.44,0.86
pokeglobal.csv,0.94,0.8,0.8,1.0,0.68,0.23,1.0,0.64,0.77,0.97,0.65,0.6,0.25
werx.csv,0.98,1.0,0.97,1.0,0.95,1.0,1.0,0.87,1.0,0.97,0.91,0.92,0.98
zealos.csv,0.23,0.4,0.52,0.0,0.1,0.23,0.77,0.53,0.29,0.83,0.65,0.12,0.68
