,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.42,0.59,0.05,0.86,0.45,0.58,0.73,0.45,0.21,0.7,0.72,0.1,0.27
avifile.csv,0.19,0.95,0.05,0.0,0.12,0.49,0.04,0.46,0.39,0.53,0.26,0.23,0.45
baadengine.csv,0.74,0.31,0.23,0.61,0.54,0.35,0.0,0.51,0.17,0.72,0.09,0.21,0.0
gdis.csv,0.43,0.23,0.56,0.0,0.62,0.52,0.61,0.47,0.56,0.0,0.58,0.48,0.8
gogoego.csv,0.48,0.0,0.0,0.89,0.63,0.41,0.74,0.49,0.56,0.61,0.37,0.43,0.73
impala.csv,0.15,0.61,0.38,0.91,0.45,0.5,0.39,0.47,0.48,0.2,0.25,0.55,0.29
jgameai.csv,0.04,0.78,0.06,0.0,0.18,0.56,0.0,0.27,0.1,0.41,0.3,0.44,0.06
jhotdraw.csv,0.39,0.66,0.57,0.82,0.13,0.57,0.0,0.46,0.64,0.38,0.59,0.27,0.22
patterntesting.csv,0.0,0.2,0.0,0.13,0.45,0.13,0.0,0.17,0.52,0.66,0.17,0.41,0.29
pokeglobal.csv,0.7,0.52,0.0,0.94,0.7,0.27,0.0,0.63,0.47,0.5,0.56,0.53,0.29
werx.csv,0.05,0.47,0.98,0.0,0.13,0.0,0.0,0.24,0.0,0.0,0.17,0.17,0.0
zealos.csv,0.27,0.45,0.52,0.0,0.12,0.27,0.74,0.53,0.33,0.63,0.62,0.14,0.62
