,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.07,0.57,0.64,0.82,0.49,0.53,0.98,0.89,0.89,0.75,1.0,0.78
crisscross.csv,1.0,1.0,0.35,0.67,0.75,0.91,0.93,0.95,0.67,1.0,0.74,0.98
gabel.csv,0.55,0.5,0.55,0.55,0.91,0.65,0.76,0.84,0.32,0.94,0.78,0.65
jguard.csv,1.02,1.0,0.88,0.83,1.0,0.9,0.81,0.48,0.8,0.87,0.79,0.85
jitterbit.csv,0.44,1.0,0.69,0.66,0.69,0.37,0.83,0.66,0.91,0.92,0.99,0.69
mycila.csv,1.01,1.0,0.93,0.81,0.79,0.95,0.58,0.65,0.72,0.9,0.29,0.77
nova.csv,1.04,0.31,0.72,0.81,0.85,0.77,0.68,0.62,0.9,0.86,0.77,0.63
ontomorphtab.csv,0.25,0.83,0.59,0.39,0.77,0.79,0.8,0.79,0.57,0.94,0.74,0.73
tmva.csv,0.61,0.51,1.0,0.91,1.0,0.87,0.86,0.68,0.9,0.88,0.98,0.41
vienna-add-in.csv,1.05,0.78,0.79,0.74,0.78,0.75,0.46,0.71,1.1,0.73,0.8,0.8
vrjuggler.csv,0.55,0.92,0.66,0.66,0.59,0.67,0.65,0.73,1.01,0.46,0.82,0.82
wpdev.csv,0.0,0.71,0.73,0.86,0.8,0.95,0.98,1.0,1.0,0.85,1.0,1.0
