,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.0,0.3,0.22,0.65,0.81,0.38,0.66,0.31,0.09,0.21,0.19,0.72
crisscross.csv,0.99,0.23,0.38,0.7,0.7,0.28,0.67,0.35,0.09,0.21,0.24,0.74
gabel.csv,1.0,0.44,0.25,0.89,1.0,0.54,0.91,0.42,0.24,0.25,0.18,0.82
jguard.csv,0.98,0.23,0.14,0.63,0.7,0.21,0.67,0.53,0.1,0.22,0.23,0.74
jitterbit.csv,1.0,0.0,0.18,0.68,0.88,0.57,0.6,0.41,0.09,0.11,0.14,0.74
mycila.csv,0.98,0.18,0.17,0.58,0.73,0.14,0.74,0.46,0.08,0.22,0.47,0.71
nova.csv,0.98,0.48,0.2,0.61,0.71,0.28,0.69,0.44,0.08,0.16,0.19,0.79
ontomorphtab.csv,1.0,0.22,0.23,0.85,0.71,0.26,0.66,0.36,0.12,0.15,0.22,0.77
tmva.csv,1.0,0.33,0.17,0.63,0.7,0.2,0.69,0.37,0.08,0.13,0.18,0.86
vienna-add-in.csv,0.98,0.26,0.19,0.65,0.68,0.27,0.8,0.36,0.0,0.22,0.17,0.75
vrjuggler.csv,1.0,0.33,0.21,0.67,0.81,0.55,0.71,0.43,0.0,0.34,0.22,0.8
wpdev.csv,1.0,0.24,0.17,0.66,0.66,0.28,0.66,0.34,0.08,0.21,0.19,0.73
