,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.97,0.42,0.34,0.75,0.8,0.52,0.77,0.43,0.16,0.31,0.32,0.69
crisscross.csv,0.97,0.37,0.51,0.8,0.48,0.42,0.77,0.52,0.16,0.35,0.39,0.84
gabel.csv,0.62,0.48,0.35,0.6,0.17,0.43,0.38,0.24,0.36,0.1,0.22,0.54
jguard.csv,0.87,0.37,0.23,0.72,0.82,0.3,0.73,0.58,0.18,0.35,0.38,0.79
jitterbit.csv,0.72,0.0,0.27,0.53,0.47,0.62,0.54,0.42,0.16,0.12,0.22,0.59
mycila.csv,0.91,0.28,0.29,0.56,0.79,0.18,0.71,0.43,0.14,0.36,0.59,0.64
nova.csv,0.84,0.61,0.33,0.66,0.77,0.41,0.63,0.45,0.14,0.17,0.3,0.8
ontomorphtab.csv,0.85,0.34,0.33,0.74,0.72,0.38,0.7,0.49,0.21,0.23,0.36,0.81
tmva.csv,0.56,0.45,0.3,0.74,0.81,0.27,0.8,0.45,0.14,0.15,0.3,0.81
vienna-add-in.csv,0.79,0.41,0.31,0.72,0.63,0.37,0.78,0.38,0.0,0.33,0.27,0.8
vrjuggler.csv,0.62,0.12,0.28,0.54,0.6,0.42,0.67,0.35,0.0,0.47,0.21,0.31
wpdev.csv,1.0,0.36,0.26,0.8,0.55,0.43,0.78,0.5,0.15,0.33,0.32,0.85
