,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.8,0.94,0.85,0.61,0.61,0.75,0.7,0.8,0.8,0.75,0.86,0.75,0.94,0.92,0.9,0.88,0.62
amygdala.csv,0.48,0.61,0.99,0.42,0.73,0.86,0.85,0.67,0.92,0.5,0.91,0.67,0.5,0.96,0.92,0.89,0.91
chrysalis.csv,0.53,0.45,0.98,0.45,0.8,0.68,0.0,0.95,0.67,0.89,0.8,0.83,0.8,0.85,0.73,0.89,0.88
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hydrate.csv,0.89,0.93,0.61,0.8,0.6,0.8,0.83,0.26,0.85,0.75,0.43,0.6,0.71,0.92,0.52,0.37,0.41
ivef-sdk.csv,0.45,0.5,0.65,0.49,0.55,0.61,0.69,0.0,0.5,0.52,0.75,0.54,0.92,0.93,0.49,0.0,0.63
jmri.csv,0.52,0.6,0.6,0.73,0.49,0.53,0.59,0.89,0.68,0.47,0.59,0.75,0.56,0.57,0.4,0.48,0.47
jython.csv,0.56,0.72,0.66,0.78,0.62,0.82,0.59,0.95,0.73,0.68,0.57,0.54,0.62,0.93,0.45,0.58,0.44
kdenlive.csv,0.43,0.41,0.45,0.4,0.81,0.56,0.67,0.26,0.45,0.63,0.43,0.44,0.5,0.71,0.58,0.41,0.52
opentibia.csv,0.41,0.43,0.5,0.45,0.51,0.6,0.49,0.68,0.51,0.46,0.52,0.5,0.52,0.49,0.8,0.53,0.67
projectfactory.csv,0.93,0.74,0.72,0.9,0.83,0.5,0.83,0.97,0.59,0.91,0.63,0.7,0.56,0.8,0.67,0.45,0.64
runuomondains.csv,0.0,0.89,0.96,0.9,0.67,0.8,0.0,0.93,0.67,0.67,0.86,0.89,0.0,0.95,0.0,0.64,0.8
somap.csv,0.42,0.44,0.39,0.46,0.4,0.43,0.41,0.26,0.37,0.41,0.43,0.35,0.43,0.44,0.32,0.37,0.38
taverna.csv,0.93,0.82,0.9,0.69,0.73,0.5,0.75,0.88,0.82,0.9,0.92,0.9,0.76,0.97,0.92,0.75,0.88
tigermud.csv,0.44,0.48,0.45,0.44,0.44,0.5,0.45,0.97,0.46,0.46,0.55,0.38,0.54,0.57,0.61,0.62,0.45
x-ray-mule.csv,0.59,0.57,0.99,0.67,0.78,0.0,0.62,0.9,0.56,0.67,0.83,0.64,0.88,0.92,0.5,0.83,0.83
