,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.31,0.3,0.37,0.69,0.63,0.08,1.0,0.22,0.09,0.45,0.14,0.11,0.39,0.05,0.29,0.29,0.19
amygdala.csv,0.56,0.55,0.27,0.6,0.37,0.11,0.17,0.24,0.27,1.0,0.21,0.51,0.41,0.12,0.34,0.29,0.0
chrysalis.csv,0.55,0.5,0.22,0.38,0.12,0.13,0.0,0.37,0.1,0.17,0.22,0.15,0.1,1.0,0.41,0.33,0.15
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.32,0.27,0.39,0.06,0.38,0.0,0.1,0.23,0.19,0.3,0.31,0.41,0.54,0.2,0.57,0.97,0.3
ivef-sdk.csv,0.73,0.73,0.51,0.82,0.49,1.0,0.28,0.0,0.57,0.62,0.17,0.7,0.29,0.1,0.78,0.06,0.11
jmri.csv,0.63,0.57,0.97,0.79,0.47,0.6,0.35,0.45,0.36,0.68,0.11,0.35,0.64,0.31,0.73,0.59,0.24
jython.csv,0.58,0.59,0.47,0.42,0.52,0.4,0.37,0.98,0.37,0.39,0.33,0.6,0.64,0.2,0.7,0.58,0.23
kdenlive.csv,0.98,0.79,0.49,0.36,0.23,0.67,0.21,0.18,0.59,0.44,0.31,0.63,0.4,0.33,0.49,0.65,0.17
opentibia.csv,0.78,1.0,0.44,0.76,0.39,0.96,0.78,0.43,0.46,0.74,0.21,0.62,0.76,0.29,0.41,0.58,0.0
projectfactory.csv,0.36,0.53,0.38,0.48,0.36,0.12,0.21,0.52,1.0,0.29,0.37,0.46,0.56,0.15,0.51,0.58,0.13
runuomondains.csv,0.03,0.15,0.05,0.45,0.07,0.14,0.0,0.39,0.05,0.05,0.93,0.22,0.0,0.09,0.03,0.41,0.0
somap.csv,0.78,0.93,0.64,0.75,0.51,0.82,0.65,0.23,0.66,0.68,0.21,0.99,0.77,0.3,0.99,0.78,0.17
taverna.csv,0.24,0.36,0.27,0.52,0.98,0.06,0.05,0.27,0.46,0.29,0.1,0.41,0.39,0.18,0.34,0.16,0.0
tigermud.csv,0.7,0.81,0.54,0.75,0.52,0.89,0.67,0.52,0.61,0.71,0.11,0.73,0.97,0.35,0.65,0.54,0.2
x-ray-mule.csv,0.46,0.5,0.22,1.0,0.44,0.0,0.63,0.06,0.49,0.62,0.14,0.65,0.23,0.1,0.07,0.26,0.73
