,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.76,0.96,0.0,0.98,0.95,0.91,0.73,0.9,0.8,0.79,0.74,0.86,0.93
bacula.csv,0.46,0.56,0.8,0.41,0.47,0.62,0.47,0.64,0.42,0.47,0.82,0.53,0.51
elmo.csv,0.8,0.0,0.8,0.0,0.67,0.0,0.0,0.0,0.8,0.93,0.5,0.83,0.75
jajuk.csv,0.41,0.44,0.59,0.38,0.45,0.43,0.47,0.45,0.41,0.49,0.42,0.46,0.46
ktc.csv,0.49,0.58,0.75,0.52,0.57,0.6,0.52,0.8,0.51,0.63,0.53,0.5,0.68
neoengine.csv,0.47,0.49,0.57,0.59,0.5,0.56,0.63,0.61,0.4,0.58,0.64,0.55,0.65
omseek.csv,0.97,0.83,0.73,0.9,0.98,0.83,0.62,0.74,0.75,0.98,0.74,0.73,0.97
pcgen.csv,0.94,0.92,0.64,0.98,0.7,0.53,0.94,0.9,0.71,0.98,0.51,0.51,0.8
rosegarden.csv,0.49,0.85,0.86,0.52,0.66,0.63,0.52,0.58,0.54,0.67,0.92,0.59,0.62
selenium.csv,0.46,0.52,0.55,0.43,0.53,0.55,0.56,0.52,0.38,0.49,0.5,0.39,0.41
vapor.csv,0.74,0.66,0.0,0.78,0.69,0.88,0.8,0.88,0.72,0.82,0.94,0.71,0.96
zorannt.csv,0.78,0.5,0.52,0.65,0.57,0.87,0.62,0.45,0.61,0.99,0.89,0.84,0.65
zscreen.csv,0.51,0.57,0.55,0.83,0.49,0.94,0.64,0.49,0.46,0.66,0.53,0.6,0.69
