,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.46,0.31,0.0,0.26,0.49,0.47,0.24,0.15,0.06,0.35,0.57,0.0,0.31
bacula.csv,0.65,0.54,0.19,0.41,0.33,0.51,0.38,0.22,0.02,0.52,0.31,0.53,0.38
elmo.csv,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.08,0.05,0.01,0.03,0.01
jajuk.csv,0.36,0.31,0.72,0.53,0.0,0.35,0.48,0.22,0.82,0.36,0.19,0.58,0.42
ktc.csv,0.01,0.35,0.39,0.2,0.47,0.18,0.44,0.19,0.35,0.13,0.35,0.42,0.31
neoengine.csv,0.39,0.26,0.87,0.0,0.3,0.23,0.45,0.41,0.82,0.44,0.52,0.59,0.28
omseek.csv,0.12,0.43,0.69,0.01,0.13,0.02,0.63,0.44,0.51,0.16,0.37,0.41,0.0
pcgen.csv,0.03,0.07,0.79,0.12,0.09,0.33,0.15,0.11,0.1,0.12,0.01,0.59,0.16
rosegarden.csv,0.19,0.09,0.4,0.57,0.24,0.18,0.68,0.44,0.65,0.0,0.35,0.41,0.47
selenium.csv,0.2,0.0,0.28,0.38,0.18,0.75,0.32,0.11,0.47,0.45,0.28,0.71,0.53
vapor.csv,0.11,0.39,0.0,0.12,0.34,0.14,0.01,0.11,0.1,0.14,0.07,0.24,0.13
zorannt.csv,0.45,0.87,0.37,0.65,0.6,0.0,0.59,0.63,0.67,0.26,0.43,0.3,0.59
zscreen.csv,0.36,0.43,0.27,0.2,0.34,0.2,0.31,0.0,0.51,0.43,0.56,0.57,0.44
