,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,4.0,0.0,71.0,2.0,3.0,25.0,4.0,0.0,0.0,20.0,5.0,0.0,39.0
bacula.csv,5.0,2.0,6.0,1.0,12.0,22.0,0.0,0.0,0.0,3.0,1.0,3.0,11.0
elmo.csv,0.0,113.0,0.0,297.0,1.0,158.0,95.0,0.0,4.0,6.0,1.0,4.0,300.0
jajuk.csv,3.0,0.0,8.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,13.0
ktc.csv,0.0,0.0,6.0,3.0,9.0,9.0,3.0,0.0,1.0,0.0,4.0,5.0,37.0
neoengine.csv,1.0,1.0,8.0,0.0,3.0,7.0,1.0,0.0,4.0,16.0,17.0,2.0,21.0
omseek.csv,12.0,0.0,8.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,5.0,7.0,1.0
pcgen.csv,4.0,1.0,8.0,1.0,3.0,21.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0
rosegarden.csv,7.0,3.0,5.0,1.0,6.0,2.0,8.0,0.0,2.0,0.0,1.0,9.0,42.0
selenium.csv,4.0,0.0,3.0,3.0,4.0,34.0,0.0,0.0,0.0,4.0,2.0,0.0,21.0
vapor.csv,2.0,0.0,71.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,8.0
zorannt.csv,17.0,0.0,16.0,3.0,3.0,0.0,5.0,0.0,2.0,5.0,4.0,9.0,77.0
zscreen.csv,7.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,12.0,5.0,10.0,44.0
