,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.12,0.0,0.17,0.0,1.0,0.43,0.09,0.01,0.08,0.0,0.2,0.15,0.09,0.32,0.11,0.0
codeblocks.csv,0.67,1.0,0.31,0.65,0.57,0.73,0.86,0.5,0.96,1.0,1.0,0.94,0.87,0.03,0.71,0.65
grisbi.csv,0.79,0.72,0.83,0.88,0.76,0.97,0.98,0.74,0.62,0.89,1.0,0.67,0.66,0.74,0.78,0.83
libmesh.csv,0.43,0.31,0.46,0.23,0.38,0.17,0.15,0.38,0.81,0.67,0.2,0.23,0.41,0.84,0.29,0.07
mesa3d.csv,0.21,0.23,0.31,0.19,0.19,0.43,0.14,0.64,0.23,0.11,0.0,0.19,0.3,0.26,0.24,0.8
panda3d.csv,0.02,0.1,0.14,0.12,0.05,0.2,0.08,0.01,0.12,0.0,0.2,0.92,0.28,0.19,0.14,0.06
proftp.csv,0.21,0.23,0.26,0.23,0.24,0.97,0.26,0.19,0.15,0.22,0.2,0.27,0.09,0.26,0.19,0.19
qmmp.csv,0.62,0.48,0.43,0.7,0.81,0.37,0.67,0.68,0.73,0.78,0.6,0.5,0.52,0.42,0.97,0.7
red5.csv,0.69,0.55,0.57,0.98,0.43,0.5,0.41,0.6,0.69,0.56,0.4,0.54,0.46,0.32,0.35,0.77
soar.csv,0.45,0.35,0.29,0.42,0.29,0.07,0.2,0.41,0.46,0.0,0.6,0.21,0.54,0.97,0.3,0.36
super-tux.csv,0.95,1.0,0.86,0.95,1.0,1.0,1.0,0.96,0.96,1.0,1.0,0.98,1.0,0.23,1.0,0.97
t-2.csv,0.26,0.35,0.17,0.14,0.33,0.07,0.02,0.96,0.35,0.11,0.0,0.44,0.32,0.29,0.33,0.1
tart.csv,0.05,0.02,0.06,0.02,0.05,0.07,0.11,0.01,0.04,0.0,1.0,0.0,0.06,0.1,0.03,0.01
tcvp.csv,0.14,0.07,0.2,0.07,0.1,0.0,0.05,0.02,0.12,1.0,0.0,0.06,0.03,0.48,0.08,0.07
utgb.csv,0.21,0.31,1.0,0.42,0.19,0.23,0.21,0.11,0.23,0.33,0.4,0.21,0.29,0.52,0.19,0.36
xbrlapi.csv,0.98,0.31,0.43,0.47,0.24,0.43,0.36,0.24,0.35,0.0,0.0,0.23,0.14,0.45,0.21,0.62
