,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.21,0.0,0.28,0.0,0.98,0.59,0.16,0.01,0.12,0.0,0.13,0.21,0.17,0.33,0.19,0.0
codeblocks.csv,0.63,1.0,0.37,0.61,0.31,0.58,0.86,0.24,0.53,0.22,0.12,0.48,0.91,0.06,0.61,0.35
grisbi.csv,0.62,0.76,0.66,0.71,0.37,0.65,0.99,0.18,0.4,0.2,0.13,0.47,0.79,0.61,0.63,0.39
libmesh.csv,0.46,0.46,0.51,0.33,0.3,0.19,0.24,0.17,0.86,0.21,0.1,0.22,0.57,0.64,0.32,0.11
mesa3d.csv,0.28,0.35,0.45,0.29,0.23,0.52,0.24,0.35,0.32,0.15,0.0,0.2,0.46,0.35,0.36,0.84
panda3d.csv,0.05,0.18,0.23,0.19,0.08,0.29,0.14,0.02,0.18,0.0,0.09,0.95,0.43,0.27,0.21,0.1
proftp.csv,0.31,0.37,0.35,0.34,0.27,0.97,0.4,0.15,0.23,0.31,0.12,0.3,0.17,0.37,0.29,0.27
qmmp.csv,0.6,0.59,0.45,0.68,0.35,0.42,0.76,0.23,0.5,0.19,0.1,0.4,0.67,0.45,0.98,0.34
red5.csv,0.57,0.63,0.58,0.98,0.31,0.52,0.52,0.26,0.51,0.15,0.07,0.38,0.63,0.44,0.46,0.34
soar.csv,0.5,0.49,0.36,0.5,0.2,0.12,0.32,0.19,0.42,0.0,0.13,0.22,0.69,0.97,0.4,0.31
super-tux.csv,0.67,0.86,0.68,0.74,0.34,0.64,0.9,0.24,0.52,0.2,0.1,0.47,1.0,0.29,0.67,0.35
t-2.csv,0.36,0.48,0.24,0.22,0.26,0.11,0.03,0.98,0.36,0.06,0.0,0.34,0.47,0.35,0.4,0.14
tart.csv,0.09,0.03,0.11,0.04,0.09,0.12,0.19,0.01,0.07,0.0,1.0,0.0,0.12,0.15,0.06,0.03
tcvp.csv,0.24,0.13,0.3,0.12,0.15,0.0,0.09,0.04,0.17,1.0,0.0,0.12,0.06,0.56,0.14,0.11
utgb.csv,0.3,0.46,0.99,0.51,0.22,0.34,0.35,0.11,0.27,0.23,0.12,0.25,0.44,0.56,0.3,0.31
xbrlapi.csv,0.98,0.44,0.45,0.49,0.18,0.53,0.52,0.15,0.34,0.0,0.0,0.24,0.25,0.47,0.29,0.29
