,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.83,0.0,0.88,0.0,0.82,0.71,0.86,0.98,0.83,0.67,0.91,0.94,0.89,0.45,0.92,0.0
codeblocks.csv,0.34,0.44,0.44,0.33,0.52,0.39,0.35,0.42,0.5,0.34,0.37,0.46,0.47,0.0,0.46,0.44
grisbi.csv,0.37,0.42,0.34,0.31,0.4,0.36,0.32,0.47,0.46,0.39,0.35,0.46,0.46,0.31,0.42,0.42
libmesh.csv,0.59,0.76,0.71,0.94,0.66,0.96,0.94,0.81,0.87,0.58,0.93,0.75,0.7,0.38,0.68,0.96
mesa3d.csv,0.86,0.9,0.79,0.92,0.93,0.65,0.89,0.77,0.92,0.75,0.88,0.93,0.87,0.6,0.95,0.89
panda3d.csv,0.5,0.94,0.89,0.91,0.8,0.91,0.8,0.97,0.86,0.83,0.94,0.8,0.97,0.79,0.96,0.89
proftp.csv,0.71,0.74,0.69,0.73,0.81,0.43,0.78,0.79,0.89,0.75,0.92,0.61,0.89,0.67,0.8,0.97
qmmp.csv,0.43,0.58,0.5,0.38,0.51,0.55,0.4,0.46,0.56,0.46,0.39,0.58,0.58,0.48,0.52,0.6
red5.csv,0.44,0.59,0.44,0.44,0.68,0.54,0.63,0.47,0.64,0.48,0.56,0.59,0.64,0.93,0.73,0.44
soar.csv,0.53,0.74,0.67,0.59,0.88,0.75,0.93,0.6,0.68,0.83,0.62,0.91,0.57,0.52,0.94,0.77
super-tux.csv,0.36,0.41,0.36,0.32,0.44,0.39,0.35,0.41,0.48,0.36,0.35,0.44,0.44,0.76,0.4,0.46
t-2.csv,0.95,0.84,0.93,0.92,0.97,0.8,0.5,0.99,0.96,0.68,0.94,0.81,0.97,0.76,0.93,0.97
tart.csv,0.67,0.67,0.67,0.5,0.5,0.75,0.86,0.97,0.0,0.0,0.8,0.0,0.83,0.9,0.67,0.5
tcvp.csv,0.89,0.9,0.91,0.86,0.8,0.5,0.67,0.88,0.8,0.89,0.0,0.75,0.67,0.57,0.88,0.95
utgb.csv,0.78,0.62,0.53,0.57,0.94,0.82,0.93,0.99,0.94,0.71,0.61,0.85,0.55,0.54,0.94,0.55
xbrlapi.csv,0.52,0.67,0.45,0.45,0.81,0.53,0.58,0.67,0.59,0.95,0.82,0.82,0.93,0.45,0.96,0.58
