,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.73,0.0,0.0,0.27,0.42,0.09,0.05,0.45,0.33,0.0,0.0,0.29,0.0,0.09,0.0,0.0
calcubetimer.csv,0.3,0.6,0.08,0.33,0.72,0.65,0.05,0.39,0.09,0.87,0.38,0.71,0.37,0.14,0.38,0.28
chaosrts.csv,0.58,0.38,0.5,0.52,0.34,0.17,0.66,0.52,0.75,0.49,0.3,0.65,0.78,0.57,0.24,0.81
dxengine.csv,0.16,0.24,0.52,0.71,0.33,0.69,0.46,0.64,0.35,0.0,0.0,0.29,0.63,0.63,0.54,0.11
freedom-erp.csv,0.19,0.02,0.0,0.0,0.26,0.06,0.0,0.1,0.01,0.37,0.74,0.21,0.0,0.0,0.24,0.32
joustsim.csv,0.51,0.48,0.75,0.69,0.22,0.26,0.47,0.34,0.47,0.42,0.09,0.9,0.76,0.54,0.47,0.15
jsidplay2.csv,0.5,0.57,0.3,0.52,0.79,0.61,0.53,0.39,0.53,0.55,0.24,0.63,0.47,0.4,0.23,0.55
madman.csv,0.41,0.26,0.57,0.18,0.32,0.71,0.5,0.49,0.32,0.17,0.06,0.31,0.76,0.0,0.52,0.49
mclient-mume.csv,0.52,0.0,0.84,0.6,0.1,0.58,0.49,0.06,0.56,0.11,0.01,0.32,0.63,0.59,0.42,0.39
primefaces.csv,0.4,0.17,0.7,0.57,0.31,0.65,0.51,0.4,0.13,0.31,0.0,0.53,0.56,0.45,0.7,0.33
reaper3d.csv,0.36,0.57,0.31,0.67,0.62,0.63,0.39,0.38,0.13,0.58,0.62,0.21,0.53,0.83,0.47,0.1
sblim.csv,0.33,0.4,0.65,0.54,0.18,0.91,0.02,0.18,0.09,0.22,0.3,0.67,0.57,0.14,0.46,0.35
sevenupdate.csv,0.0,0.77,0.64,0.3,0.19,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
springside.csv,0.63,0.35,0.75,0.7,0.31,0.59,0.74,0.37,0.43,0.41,0.24,0.59,0.78,0.61,0.54,0.44
swtfox.csv,0.63,0.63,0.59,0.0,0.39,0.06,0.27,0.71,0.01,0.25,0.06,0.39,0.67,0.53,0.42,0.5
tmva.csv,0.0,0.0,0.3,0.5,0.21,0.25,0.76,0.39,0.75,0.0,0.0,0.0,0.76,0.64,0.52,0.21
