,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.29,0.25,0.22,0.24,0.28,0.0,0.35,0.29,0.3,0.09
aime.csv,0.71,0.55,0.49,0.0,0.26,0.03,0.23,0.17,0.09,0.09
badtrinitycore.csv,0.0,0.05,0.25,0.18,0.41,0.51,0.29,0.16,0.3,0.14
electric-core.csv,0.67,0.45,0.23,0.33,0.81,0.94,0.55,0.57,0.63,0.55
geochat.csv,0.62,1.0,0.72,0.36,0.38,0.03,0.05,0.02,0.13,0.24
mumble.csv,0.88,1.0,0.53,0.03,0.5,0.51,0.17,0.25,0.46,0.44
olsrd.csv,0.79,0.15,0.46,0.58,0.57,0.49,0.71,0.63,0.65,0.59
silvertree.csv,0.96,0.15,0.63,0.68,0.1,0.2,0.66,0.97,0.74,0.22
skia.csv,0.62,0.2,0.4,0.49,0.46,0.23,0.31,0.19,0.28,0.22
t-2.csv,0.5,0.45,0.34,0.43,0.96,0.77,0.45,0.16,0.61,0.63
