,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.31,0.4,0.56,0.55,0.46,0.0,0.5,0.8,0.59,0.92
aime.csv,0.42,0.55,0.59,0.0,0.48,0.67,0.95,0.99,0.88,0.91
badtrinitycore.csv,0.0,0.75,0.62,0.67,0.46,0.37,0.46,0.8,0.52,0.91
electric-core.csv,0.3,0.53,0.62,0.49,0.48,0.39,0.48,0.47,0.41,0.42
geochat.csv,0.44,0.44,0.46,0.72,0.58,0.0,0.86,0.96,0.92,0.65
mumble.csv,0.3,0.44,0.54,0.93,0.4,0.41,0.47,0.81,0.48,0.52
olsrd.csv,0.31,0.33,0.45,0.44,0.38,0.41,0.39,0.41,0.38,0.43
silvertree.csv,0.33,0.44,0.41,0.42,0.9,0.56,0.38,0.45,0.38,0.69
skia.csv,0.32,0.31,0.43,0.41,0.39,0.6,0.53,0.58,0.46,0.61
t-2.csv,0.41,0.5,0.62,0.5,0.47,0.4,0.42,0.79,0.51,0.48
