,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.0,0.24,0.55,0.3,1.0,0.6,0.73,0.71,0.06,0.95,0.21,0.59,0.48,0.22
continuum-ide.csv,0.0,0.16,0.09,0.0,1.0,0.4,0.4,1.0,0.0,0.05,0.18,0.0,0.12,0.06
free-evolution.csv,0.0,0.41,0.45,0.8,0.0,0.2,0.4,0.18,0.29,0.05,0.97,0.36,0.06,0.64
gtad.csv,1.0,0.06,0.27,0.0,0.0,0.6,0.07,0.0,0.02,0.05,0.09,0.0,0.06,0.06
jaxen.csv,0.0,0.0,0.09,0.0,0.0,1.0,0.17,0.18,0.0,0.0,0.0,0.0,0.03,0.03
jruby.csv,1.0,0.27,0.09,0.0,1.0,0.2,0.4,0.94,0.0,0.41,0.52,0.68,0.99,0.17
jsr308-langtools.csv,0.5,0.59,0.55,0.2,1.0,0.8,0.97,0.76,0.43,0.45,0.55,0.14,0.4,0.44
kaffeine.csv,1.0,0.96,0.82,1.0,1.0,0.8,0.93,1.0,1.0,0.86,0.91,0.86,0.97,0.94
oorexx.csv,0.5,0.55,0.82,0.7,0.0,0.6,0.73,0.71,0.55,0.64,0.82,0.82,0.63,1.0
qedo.csv,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.05,0.12,0.91,0.0,0.11
sarasvati.csv,0.0,0.55,0.82,0.3,1.0,0.2,0.37,0.18,0.14,0.05,0.21,0.0,0.18,0.47
taokgame.csv,0.0,0.0,0.09,1.0,0.0,0.2,0.07,0.0,0.0,0.23,0.0,0.05,0.0,0.0
zabbix.csv,1.0,0.86,0.91,0.7,1.0,0.8,0.87,0.71,0.98,0.68,0.94,0.77,0.84,0.89
