,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,1.03,0.84,0.53,0.8,0.11,0.47,0.31,0.68,0.94,0.05,0.83,0.54,0.78,0.83
continuum-ide.csv,1.0,0.91,0.91,1.01,0.08,0.6,0.6,0.0,1.0,0.96,0.84,1.01,0.89,0.95
free-evolution.csv,1.02,0.94,0.58,0.55,1.17,0.8,0.78,0.94,0.71,0.96,0.03,0.66,0.94,0.7
gtad.csv,0.0,0.94,0.73,1.0,1.0,0.41,0.93,1.01,0.98,0.95,0.91,1.01,0.94,0.94
jaxen.csv,1.0,1.0,0.91,1.0,1.0,0.0,0.83,0.82,1.0,1.0,1.0,1.02,0.97,0.97
jruby.csv,0.27,0.74,0.93,1.07,0.18,0.81,0.62,0.77,1.0,0.63,0.62,0.5,0.05,0.88
jsr308-langtools.csv,0.65,0.45,0.51,0.93,0.11,0.41,0.03,0.76,0.65,0.57,0.63,1.0,0.87,0.62
kaffeine.csv,0.96,0.04,0.68,1.0,0.74,0.54,0.5,1.0,1.0,0.57,0.97,0.65,0.95,0.96
oorexx.csv,0.73,0.48,0.62,0.58,1.25,0.58,0.66,0.71,0.62,0.52,0.63,0.36,0.83,0.04
qedo.csv,1.02,0.88,1.0,1.01,1.0,1.0,1.01,0.94,0.94,0.95,0.91,0.09,1.0,0.9
sarasvati.csv,1.02,1.01,0.18,0.78,0.33,0.8,0.68,0.84,0.86,0.95,0.83,1.0,0.82,0.66
taokgame.csv,1.0,1.0,0.91,0.0,1.18,0.84,0.93,1.0,1.0,0.93,1.0,0.98,1.0,1.0
zabbix.csv,0.8,0.65,0.76,0.59,0.82,0.48,0.71,0.78,0.02,0.72,0.84,0.86,0.81,0.89
