,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.4,0.31,0.34,0.22,0.09,0.42,0.73,0.38,0.38,0.1
jmule.csv,0.49,0.47,0.64,0.57,0.62,0.43,0.41,0.71,0.68,0.14
nosleepsoftware.csv,0.06,0.25,0.17,0.0,0.22,0.06,0.01,0.19,0.23,0.41
open-ms.csv,0.43,0.63,0.26,0.08,0.04,0.24,0.29,0.34,0.46,0.72
qgo.csv,0.14,0.83,0.74,0.2,0.41,0.56,0.64,0.89,0.9,0.97
rezilla.csv,0.51,0.89,0.77,0.2,0.5,0.3,0.56,0.8,0.69,0.28
riff-evolve.csv,0.34,0.17,0.3,0.05,0.16,0.25,0.59,0.26,0.19,0.0
uwom.csv,0.49,0.06,0.64,0.35,0.22,0.26,0.01,0.57,0.24,0.14
virtuoso.csv,0.83,0.93,1.0,0.9,0.94,0.99,0.21,0.96,0.6,0.93
yield.csv,0.57,0.64,0.62,0.12,0.13,0.92,0.74,0.72,0.52,1.0
