,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.59,0.67,0.06,0.5,0.84,0.64,0.28,0.27,0.36,0.73
jmule.csv,0.6,0.62,0.12,0.41,0.57,0.63,0.31,0.23,0.29,0.83
nosleepsoftware.csv,0.75,0.47,0.58,0.0,0.32,0.45,0.0,0.17,0.01,0.48
open-ms.csv,0.62,0.58,0.45,0.5,0.82,0.66,0.39,0.28,0.28,0.48
qgo.csv,0.84,0.54,0.29,0.47,0.58,0.53,0.28,0.22,0.22,0.46
rezilla.csv,0.51,0.54,0.31,0.62,0.29,0.52,0.3,0.2,0.21,0.58
riff-evolve.csv,0.59,0.73,0.0,0.67,0.78,0.72,0.3,0.34,0.5,0.0
uwom.csv,0.53,0.67,0.03,0.44,0.71,0.56,0.67,0.23,0.5,0.75
virtuoso.csv,0.5,0.53,0.25,0.35,0.48,0.49,0.4,0.21,0.3,0.4
yield.csv,0.56,0.58,0.28,0.44,0.83,0.5,0.27,0.23,0.32,0.45
