,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.01,0.0,0.0,0.45,0.17,0.04
codeblocks.csv,0.07,0.69,0.49,0.36,0.33,0.28
dataobjectsdotnet.csv,0.55,0.94,0.46,0.51,0.67,0.34
n2cms.csv,0.28,0.75,0.13,0.54,0.83,0.48
nug.csv,0.66,0.17,0.08,0.55,0.67,0.69
uclmda.csv,0.03,0.03,0.21,0.08,0.0,0.18
