,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.9,1.0,1.0,0.49,1.0,0.99
codeblocks.csv,0.84,0.78,0.53,0.76,0.41,0.7
dataobjectsdotnet.csv,0.69,1.01,0.56,0.59,0.67,0.57
n2cms.csv,0.39,0.92,0.67,0.59,0.95,0.68
nug.csv,0.69,0.29,0.94,0.67,0.68,0.78
uclmda.csv,1.0,1.0,0.71,0.96,0.01,0.9
